gene_id	B100	B110	B175	B200	B210	B275	B300	B310	B375
MSTRG.10527	3800	121	31	5330	187	47	697	67	69
MSTRG.10528	1000	190	0	528	405	0	648	197	0
MSTRG.10529	228	0	55	188	0	413	238	0	157
MSTRG.1053	2202	0	78	2404	64	280	781	0	63
MSTRG.10530	1514	66	2875	1289	39	4816	256	11	4051
MSTRG.10531	116	51	148	60	40	224	47	40	248
MSTRG.10532	2053	708	2515	741	374	1804	664	550	2372
MSTRG.10533	870	830	8	332	988	69	267	459	62
MSTRG.10534	1559	19	710	905	5	739	1205	7	599
MSTRG.10535	8342	749	9	8592	574	72	2275	745	64
MSTRG.10536	1947	2606	2016	1418	3624	3057	1275	1167	1280
MSTRG.10537	1363	391	933	949	157	673	552	210	793
MSTRG.10538	1206	1598	701	348	783	681	355	426	1860
MSTRG.10539	2136	352	1652	354	314	1318	880	239	602
MSTRG.1054	1766	123	8	1533	22	0	1254	80	5
MSTRG.10540	14	516	228	31	677	508	17	575	119
MSTRG.10541	55	462	0	108	614	0	119	263	0
MSTRG.10542	0	11990	2446	0	7435	1736	0	11755	18517
MSTRG.10543	725	0	0	305	0	0	428	0	0
MSTRG.10544	141	1089	37	188	14	58	209	1188	212
MSTRG.10545	326	5592	108	92	3826	181	114	5867	1570
MSTRG.10546	121	1311	57	52	1577	163	34	1732	304
MSTRG.10547	0	752	0	0	34	0	0	355	0
MSTRG.10548	0	215	16	0	728	8	0	203	36
MSTRG.10549	0	114	698	0	2118	204	0	142	1296
MSTRG.1055	162	100	992	167	19	700	102	0	1034
MSTRG.10550	3800	257	59	399	4233	1939	330	256	47
MSTRG.10551	0	17	9	0	140	21	0	159	39
MSTRG.10552	0	907	33	0	1054	144	0	1451	74
MSTRG.10553	0	5046	19	0	8971	12	0	4010	35
MSTRG.10554	3339	274	24	3387	552	3	1522	660	25
MSTRG.10555	52	6169	437	180	315	739	58	4142	314
MSTRG.10556	1016	11467	3450	1673	8734	2004	398	17037	1545
MSTRG.10557	51	1154	30	92	975	83	9	952	14
MSTRG.10558	7	1651	300	20	679	345	18	1252	1831
MSTRG.10559	174	5032	12	174	12472	102	275	6968	31
MSTRG.1056	1	286	6175	1	104	9163	12	28	3571
MSTRG.10560	318	225	0	244	178	0	570	159	0
MSTRG.10561	1342	379	3524	363	4569	2536	860	645	27267
MSTRG.10562	691	246	37	430	375	156	418	332	26
MSTRG.10563	744	1574	0	582	1084	0	539	254	0
MSTRG.10564	462	390	1257	229	597	567	37	384	534
MSTRG.10565	0	32	0	0	135	0	0	58	0
MSTRG.10566	1622	8472	10704	585	1672	12516	40	5620	5634
MSTRG.10567	2023	3270	10581	2602	2619	10950	491	2529	7598
MSTRG.10568	1654	672	6	1335	343	120	872	571	1
MSTRG.10569	42	1663	15	15	699	29	31	1685	28
MSTRG.1057	142	168	9525	32	40	11012	188	30	9642
MSTRG.10570	1382	297	0	911	530	78	974	491	101
MSTRG.10571	12	1393	1	13	1513	394	31	1878	487
MSTRG.10572	0	21	8143	0	22	9267	0	296	6945
MSTRG.10573	125	470	1305	33	2461	1147	192	437	694
MSTRG.10574	45	1302	2	43	449	2	662	1011	44
MSTRG.10575	11	1262	1221	196	1613	1297	18	1854	1444
MSTRG.10576	175	737	0	45	193	0	45	616	0
MSTRG.10577	95	1265	0	0	609	0	0	977	0
MSTRG.10578	437	3176	55	380	454	17	605	1934	38
MSTRG.10579	2850	2446	13	4066	3569	231	648	2581	88
MSTRG.1058	382	264	2484	16	77	15487	3	16	2866
MSTRG.10580	3627	0	1907	3234	0	1826	2701	1	1427
MSTRG.10581	411	176	498	426	125	355	407	58	482
MSTRG.10582	103	111	380	32	32	455	74	368	724
MSTRG.10583	0	85	54	0	540	31	0	13	439
MSTRG.10584	185	102	230	145	75	691	92	15	68
MSTRG.10585	0	165	9	0	200	0	0	332	47
MSTRG.10586	1	171	817	86	114	856	12	33	1188
MSTRG.10587	1326	685	304	1471	626	229	1230	513	335
MSTRG.10588	96	33	42	118	59	42	172	53	105
MSTRG.10589	536	154	20000	461	696	54927	478	420	10014
MSTRG.1059	1	990	38	5	2732	20	48	369	42
MSTRG.10590	1204	655	14042	776	365	6489	838	648	9515
MSTRG.10591	303	1486	30	164	1783	7	174	2064	22
MSTRG.10592	3955	3044	2	2751	3399	1	2392	1106	2
MSTRG.10593	12	282	0	19	216	3	22	192	2
MSTRG.10594	827	2944	11	1178	25858	39	718	1488	32
MSTRG.10595	47	147	20	13	69	47	44	56	51
MSTRG.10596	51	49	1619	168	134	1124	11	45	13278
MSTRG.10597	4	32	794	85	451	532	1	26	6326
MSTRG.10598	0	192	536	0	206	399	0	370	4462
MSTRG.10599	1308	174	3384	2322	130	3199	1030	289	2724
MSTRG.106	4567	1036	165	3785	705	77	2895	204	103
MSTRG.1060	94	4664	141	118	3951	169	105	5394	244
MSTRG.10600	455	570	464	402	534	364	313	280	373
MSTRG.10601	1	2504	0	1	2035	0	1	1992	0
MSTRG.10602	24151	0	192	14058	0	749	14135	0	448
MSTRG.10603	10560	5541	128	2722	7415	123	4187	5054	79
MSTRG.10604	22	1430	819	74	386	553	13	1659	774
MSTRG.10605	323	3247	98	101	1810	90	102	2503	11
MSTRG.10606	16651	412	1564	12961	1080	1874	9925	248	1951
MSTRG.10607	1197	470	14	308	2784	234	946	411	348
MSTRG.10608	87	82	0	24	102	59	22	88	58
MSTRG.10609	497	46	1382	207	290	1921	362	86	1428
MSTRG.1061	1959	1252	1	2096	3777	1	994	3097	0
MSTRG.10610	15836	36	1416	2245	21	2613	881	77	1850
MSTRG.10611	16226	3395	1352	4068	2596	15572	45142	2332	13
MSTRG.10612	126	418	0	119	209	0	83	362	0
MSTRG.10613	46	1137	4845	63	578	12702	66	533	3888
MSTRG.10614	170	3093	335	216	2634	179	309	1876	590
MSTRG.10615	2084	1962	866	2438	3018	311	2552	2077	328
MSTRG.10616	2063	265	988	2269	188	1223	1886	594	1252
MSTRG.10617	4018	2810	73	2510	1555	100	2005	2588	97
MSTRG.10618	2584	0	0	2033	0	0	988	0	0
MSTRG.10619	6163	205	678	9103	298	662	6005	275	940
MSTRG.1062	6062	29968	5799	2771	7569	9070	2115	23909	3674
MSTRG.10620	177	0	344	274	0	966	180	0	315
MSTRG.10621	2122	674	275	3391	183	201	968	418	213
MSTRG.10622	1228	126	21	786	99	123	673	129	43
MSTRG.10623	2568	23	33	3650	70	125	2274	27	238
MSTRG.10624	6812	0	0	3769	2689	0	3494	0	0
MSTRG.10625	428	1085	3220	262	3881	3335	210	1549	1721
MSTRG.10626	1038	0	93	699	0	152	535	0	152
MSTRG.10627	103	0	957	151	0	979	77	0	625
MSTRG.10628	3333	887	523	2783	2152	377	1775	1037	546
MSTRG.10629	1	178	2195	0	176	3581	0	204	4131
MSTRG.1063	709	32019	3997	358	52	1374	31	41011	3598
MSTRG.10630	46	714	1698	31	371	1257	13	298	861
MSTRG.10631	34	115	5259	20	176	6841	44	242	2809
MSTRG.10632	964	3648	45	289	5005	3	492	3798	29
MSTRG.10633	181	871	39	87	484	93	37	418	74
MSTRG.10634	4340	76	22	4526	171	45	1875	154	274
MSTRG.10635	64	867	82	40	790	309	228	695	197
MSTRG.10636	343	0	0	179	0	0	234	0	0
