gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.4281	178	6	2410	55	1609	4	0	2299	69	2430	0	27	2049	29	2090
MSTRG.4282	43	183	133	3	463	0	6	201	44	172	0	2	356	32	1212
MSTRG.4283	610	857	0	252	9339	0	1213	0	284	3485	216	976	0	453	1865
MSTRG.4284	660	1087	386	2	98	17	1288	58	29	509	470	1116	201	1	172
MSTRG.4285	216	911	70	29	2086	100	1760	54	0	1970	63	1777	43	41	1932
MSTRG.4286	9073	0	2104	537	3725	8092	0	1267	267	3263	7355	0	2020	623	2642
MSTRG.4287	153	0	17	0	520	146	0	33	48	235	185	0	134	16	193
MSTRG.4288	3443	5230	2648	498	50	4876	7170	2366	147	167	2952	6176	3431	209	87
MSTRG.4289	2001	640	8207	450	2	759	326	11345	195	38	2719	464	7594	506	131
MSTRG.429	150	10626	1988	2694	189	183	7518	1420	1112	141	111	10596	1813	1103	94
MSTRG.4290	331	399	694	535	2259	805	323	2972	254	2723	279	359	1094	176	1555
MSTRG.4291	782	0	2052	2911	3211	641	0	3643	3560	5378	690	0	1324	2321	3443
MSTRG.4292	5983	280	287	10640	2189	4126	3	115	24762	2737	4137	0	609	33902	716
MSTRG.4293	1238	153	581	17791	7611	1927	0	318	8542	12814	303	27	641	11213	7479
MSTRG.4294	5638	619	23	55	437	13189	0	75	95	79	4088	155	95	187	226
MSTRG.4295	107	557	60	946	0	108	6	117	1368	28	50	555	93	605	7
MSTRG.4296	3364	1391	1162	1	702	839	1616	1021	1	1608	1636	1075	843	1	432
MSTRG.4297	788	94	2914	4037	2921	450	30	2055	2851	4901	962	35	3145	3100	2015
MSTRG.4298	10033	173	411	2	5136	3712	107	392	0	5901	8323	124	747	2	1767
MSTRG.4299	1313	3361	3059	18	3156	1501	4672	2311	13	1606	1033	3449	2821	25	1506
MSTRG.43	2125	1775	2	341	1706	1749	2098	3	466	1719	3112	1777	4	143	1938
MSTRG.430	807	2604	393	1849	3646	571	5674	200	1715	3409	736	1967	661	521	2239
MSTRG.4300	935	217	491	18863	821	308	218	1698	28456	424	1395	233	500	10153	493
MSTRG.4301	3693	2173	2271	3741	72	3497	4050	2125	3498	99	1690	3316	3246	5262	199
MSTRG.4302	2226	2494	6038	177	43	1372	557	1404	32	46	845	2190	5029	53	89
MSTRG.4303	559	390	1813	1752	1162	668	917	2782	2770	1487	286	400	1979	1836	1327
MSTRG.4304	8066	2150	684	0	113	6511	3394	508	0	47	5990	1689	1120	0	63
MSTRG.4305	628	4417	120	922	207	587	3416	127	930	462	685	4711	138	1028	599
MSTRG.4306	4035	3327	23	8	300	4217	13015	32	34	268	4149	5073	17	50	465
MSTRG.4307	0	0	425	217	551	352	0	425	18	1154	57	394	591	28	1053
MSTRG.4308	2268	68	1433	771	14	1108	109	1207	1158	6	2333	104	1538	337	9
MSTRG.4309	51	3500	3	1783	6585	26	1350	127	3300	4519	63	2322	0	1341	10259
MSTRG.431	153	498	143	148	0	113	426	182	255	26	145	190	171	231	6
MSTRG.4310	176	8793	2	286	67	9	3270	77	204	62	14	10029	0	409	228
MSTRG.4311	38	25	13	266	480	15	0	11	183	1986	37	112	24	159	438
MSTRG.4312	536	14	0	1496	150	254	18	0	4614	170	274	19	0	1718	89
MSTRG.4313	2158	1052	1	1370	240	1327	1689	31	748	402	1608	1267	0	532	218
MSTRG.4314	255	757	4	2937	956	346	856	29	5351	1771	265	1358	58	1176	1824
MSTRG.4315	11567	2238	3	12601	622	5497	3105	27	9571	1370	7755	1909	44	10678	657
MSTRG.4316	9362	1249	1	295	12024	5735	919	114	533	8255	6882	1474	20	654	7861
MSTRG.4317	18	325	2	49	0	57	1093	60	84	22	19	246	59	176	8
MSTRG.4318	11	6152	1	2070	1264	3	6258	466	876	1309	1851	7261	21	2621	1280
MSTRG.4319	31	4169	17	400	4	8	2374	486	237	3179	6	2936	108	286	6
MSTRG.432	13780	9512	1175	34	80	9056	7774	360	49	619	8344	6661	674	98	72
MSTRG.4320	95	1	2	5140	504	19	1	13	2712	1171	30	1	15	3308	644
MSTRG.4321	108	26	1	96	1252	116	11	94	81	948	54	38	5	125	1706
MSTRG.4322	8637	27	468	58595	1363	5488	6	922	22611	2334	4763	31	481	14849	1155
MSTRG.4323	7354	426	2300	571	232	6297	286	2134	149	126	5465	233	2534	5720	215
MSTRG.4324	155	0	98	146	5225	257	0	53	151	9150	83	0	83	252	2506
MSTRG.4325	1	0	102303	344	1539	1	0	160021	127	1258	1	0	103405	352	14
MSTRG.4326	17	1840	4030	119	608	123	1976	170	68	800	16	1803	6217	48	837
MSTRG.4327	136	1153	6	0	59	124	1180	54	0	107	54	684	21	0	43
MSTRG.4328	123	928	1348	383	1099	109	622	4209	304	858	21	722	1122	617	848
MSTRG.4329	673	4603	394	2325	251	861	877	88	2025	249	406	2002	238	3225	330
MSTRG.433	2618	3516	186	0	0	4367	2362	54	0	0	501	691	162	0	35
MSTRG.4330	0	0	3444	94	1290	0	30	5044	96	1282	0	0	964	152	1159
MSTRG.4331	0	1081	216	286	0	0	1149	625	224	0	0	596	166	154	0
MSTRG.4332	1916	4174	340	20028	50	2078	2288	4452	12441	126	1443	2934	232	3905	300
MSTRG.4333	2763	5634	491	1130	1875	1929	8141	181	1390	2396	888	6311	548	755	1017
MSTRG.4334	711	1064	317	2429	114	382	2300	275	2853	361	320	665	315	2090	124
MSTRG.4335	5342	1448	542	0	3741	980	783	254	1523	4124	2877	1131	807	0	7287
