gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.8099	2611	3810	7737	179	101	1286	2571	9648	77	37	1452	4259	5601	27	345
MSTRG.81	1518	0	16452	56	2111	639	0	10477	34	1572	1126	61	3528	51	2266
MSTRG.810	1653	1	22	9902	564	1396	1	76	5884	254	1427	1	0	18764	386
MSTRG.8100	3028	303	5572	36	1072	1335	451	3273	1	974	3256	93	3662	7	1124
MSTRG.8101	2209	1191	1202	25	1390	1835	1722	1345	23	878	1096	1458	844	40	739
MSTRG.8102	216	89	2809	5	0	76	4	2808	2	0	14	7	2324	2	0
MSTRG.8103	76	330	494	315	64	39	141	282	149	62	13	306	450	459	18
MSTRG.8104	625	1004	2422	5	768	275	492	412	195	1982	474	771	1182	142	893
MSTRG.8105	865	6202	0	4	1833	2724	4407	0	53	1358	963	2738	0	103	835
MSTRG.8106	1076	0	218	49	186	422	715	122	56	171	1687	229	170	126	152
MSTRG.8107	756	0	437	35	5260	431	0	219	9	5898	1199	0	222	58	3002
MSTRG.8108	23	233	932	37	141	23	581	1212	10	102	100	404	41	0	9
MSTRG.8109	1398	1497	202	216	49	868	575	164	38	13	899	1018	44	109	28
MSTRG.811	1211	77	1	3590	0	1186	110	2	3854	0	1489	82	1	4166	0
MSTRG.8110	1949	271	925	19	2201	1526	461	834	2417	1636	1621	568	1721	98	1031
MSTRG.8111	5624	159	2371	37	14749	4919	199	1944	1	15545	4665	277	2846	51	7740
MSTRG.8112	4571	6218	2477	35	3291	3122	4943	2347	7739	4194	3077	3600	3385	139	2149
MSTRG.8113	945	201	8	183	20	46	154	123	94	7	701	330	91	188	0
MSTRG.8114	0	187	5101	1	29	0	528	7149	1	3	0	402	6079	1	10
MSTRG.8115	1313	5783	85	31	4779	30	3547	133	1	8288	75	7139	141	271	2232
MSTRG.8116	1196	1195	295	5	900	931	1210	334	0	1488	388	1213	478	140	968
MSTRG.8117	857	2945	0	38	142	268	1872	7	9	949	513	1988	23	31	140
MSTRG.8118	578	598	904	10550	7	384	644	484	6233	52	143	502	669	5342	0
MSTRG.8119	46	0	1259	14039	248	38	0	1281	8868	645	40	0	1157	11158	114
MSTRG.812	1143	0	3259	57	939	1295	26	2618	162	605	1968	0	3481	89	1307
MSTRG.8120	135	1720	1232	1480	3569	99	1340	69	2073	4721	127	3599	1054	461	3411
MSTRG.8121	1323	28	1583	117	965	1809	12	2658	4	1007	1381	42	2773	5	996
MSTRG.8122	2856	954	619	0	554	1981	1016	1037	0	452	2570	1038	979	0	4396
MSTRG.8123	15	4494	4126	228	2600	10	3399	3279	1723	1765	4	6860	4606	208	19629
MSTRG.8124	284	299	4581	0	124	104	112	5316	0	112	217	239	4375	0	180
MSTRG.8125	2407	0	399	810	243	2445	0	486	436	131	2064	0	736	751	1766
MSTRG.8126	0	258	3324	2677	114	0	39	2140	2870	158	0	75	2608	1882	713
MSTRG.8127	8699	158	894	0	1209	3246	102	794	0	854	7012	141	880	0	9094
MSTRG.8128	2957	10927	2534	488	5784	2060	10562	466	51	5861	3123	11110	1993	113	5772
MSTRG.8129	0	6551	8621	689	10677	0	11225	9048	2015	21852	0	4143	4003	1290	9893
