gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.5061	200	2897	643	79	1995	150	2153	1679	102	1987	180	1653	342	205	1831
MSTRG.5062	2780	522	227	7978	466	2901	366	176	10635	694	946	281	23	6146	533
MSTRG.5063	41	5607	33	37	5	69	15370	160	83	23	124	9464	101	135	10
MSTRG.5064	585	1635	1366	1255	15	1140	2062	532	619	2	646	143	1273	1232	67
MSTRG.5065	3134	5	8749	265	1355	2403	34	8120	450	1838	1455	53	11638	351	1273
MSTRG.5066	323	301	361	842	437	589	182	1362	991	700	109	258	307	599	683
MSTRG.5067	4700	550	4200	8528	659	1152	374	1286	13452	1927	930	396	3261	8489	1144
MSTRG.5068	5686	270	1851	2662	22	12388	423	1295	3090	22	6382	257	1569	1681	7
MSTRG.5069	526	5277	7239	559	0	206	2888	13208	652	0	514	3529	8262	499	2
MSTRG.507	185	1044	2369	6	7290	46	1036	1866	17	6670	104	1023	2267	4	3185
MSTRG.5070	1647	726	18	35	167	1848	401	21	7570	1	73	1260	2	198	64
MSTRG.5071	361	35	748	318	79	109	33	479	46018	51	98	9	1148	1033	34
MSTRG.5072	188	0	535	75	32	148	0	327	2673	3	7	0	776	690	45
MSTRG.5073	263	310	886	4599	135	207	446	1016	3467	204	180	406	1203	1230	80
MSTRG.5074	9061	1450	8061	365	6541	6411	3585	5923	116	9553	2070	9550	4443	219	4801
MSTRG.5075	594	1725	1250	2919	399	561	1214	1349	2435	151	404	2338	1487	1691	189
MSTRG.5076	517	670	1374	101	4956	356	590	1683	401	6837	291	1249	1306	139	4365
MSTRG.5077	2508	642	55	2425	1554	2948	817	188	3455	2608	2507	995	171	1134	469
MSTRG.5078	944	185	690	5658	6004	516	212	1758	4963	8913	1626	878	635	4957	4603
MSTRG.5079	55	566	1243	27	135	41	705	356	3	310	2	1748	988	2	241
MSTRG.508	86	43	241	1734	500	30	40	130	2967	266	19	29	395	1365	502
MSTRG.5080	84	273	126	348	6927	41	333	121	76	79774	0	348	205	285	3960
MSTRG.5081	396	1347	372	1975	17345	388	1965	516	2785	18502	446	2006	408	1610	16274
MSTRG.5082	2741	6841	225	0	2286	4012	3062	331	0	32664	5408	2165	195	0	559
MSTRG.5083	2057	3853	73	1083	138	1299	4499	828	843	230	1962	3655	30	1601	187
MSTRG.5084	803	390	1587	3	1014	631	488	1796	245	1700	1265	309	921	660	850
MSTRG.5085	641	2063	814	1213	1626	671	1666	659	4436	2058	780	2374	854	1665	1992
MSTRG.5086	264	30015	194	492	186	95	20420	472	663	1378	527	18999	148	666	441
MSTRG.5087	694	305	3226	65	1150	508	297	3626	65	1216	1435	574	5055	176	1249
MSTRG.5088	5	1930	6213	3225	0	11	1287	7089	3096	8	57	1211	7143	1178	0
MSTRG.5089	1776	15	2735	2164	3488	1928	11	2679	405	3328	1451	9	3242	373	1889
MSTRG.509	6401	888	130	1144	1461	1864	1649	962	2638	1013	1575	1148	186	1420	841
MSTRG.5090	5515	1915	674	0	165	2838	2292	1266	0	76	775	2064	963	0	57
MSTRG.5091	7651	4375	4315	0	4713	4060	2012	4475	0	3103	3851	1753	4504	55	1812
MSTRG.5092	559	491	2250	2544	1145	497	431	319	4262	1492	227	797	1571	1388	2416
MSTRG.5093	2894	3254	723	84	129	1809	2262	634	81	88	2147	1455	734	195	370
MSTRG.5094	39907	2459	2391	50	311	18427	2769	1199	165	563	15538	2613	3551	75	330
MSTRG.5095	298	1762	43	2370	2845	345	1467	2	2171	1539	431	1890	8	1488	946
MSTRG.5096	1684	2246	0	0	42	1478	1686	0	0	22	686	2547	0	0	121
MSTRG.5097	3	340	572	0	0	1	371	242	0	0	2	203	551	0	0
MSTRG.5098	2584	0	225	26	0	2232	0	174	1723	0	1600	0	108	124	0
MSTRG.5099	68	7047	44	22	0	128	7041	3867	1399	0	54	5100	105	965	0
MSTRG.51	34	1541	532	32	624	20	735	3636	34	1942	60	2726	1065	21	1181
MSTRG.510	2273	95	1950	1836	7	1571	48	1654	1880	10	1605	39	1562	1586	1
MSTRG.5100	643	2107	16	185	15	542	5406	423	48	424	751	2529	60	75	28
MSTRG.5101	4590	308	7199	2043	8389	2058	204	1522	2644	15813	756	64	4361	1469	7821
MSTRG.5102	2950	0	2643	1670	12	2428	0	2430	1968	87	2056	0	1503	1564	103
MSTRG.5103	5418	2199	2487	68	13	3095	577	1695	19	25	4730	2555	1746	193	0
MSTRG.5104	22	753	522	1725	1752	0	793	313	1401	2993	4	1629	415	1848	921
MSTRG.5105	214	0	148	238	41	291	1	143	508	140	146	49	74	327	0
MSTRG.5106	0	4657	1557	1394	483	0	4220	1125	3252	373	0	5706	2040	969	320
