gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.10899	10264	699	14794	4335	0	11446	1122	1178	4893	49	8186	643	7466	2273	9
MSTRG.109	222	68	8039	92	239	170	49	8346	136	134	205	101	7680	59	247
MSTRG.1090	8152	684	25	483	1	711	238	4	579	273	22	244	113	569	2
MSTRG.10900	8110	7051	3120	0	2	6154	5454	1058	0	47	6243	7927	1709	0	2
MSTRG.10901	95	18176	6680	4	0	235	17454	12724	134	0	118	18831	7428	16	0
MSTRG.10902	529	32	10490	190	168	1593	152	12637	313	175	217	8	9129	129	1561
MSTRG.10903	1	1992	3	0	438	1	2604	305	0	2761	1	1408	3	0	315
MSTRG.10904	368	865	0	90	2498	250	757	69	349	2422	336	1134	4	1110	1980
MSTRG.10905	10	185	12	1338	49	59	51	517	3642	195	0	371	935	1193	266
MSTRG.10906	10	4131	80	553	32	38	4543	23	434	91	34	5165	5	720	45
MSTRG.10907	61	5353	22348	14	1369	4	6014	15030	157	3348	74	8145	4201	20	438
MSTRG.10908	119	111	5494	0	174	0	243	3599	0	114	3	172	1366	0	253
MSTRG.10909	284	609	578	3689	649	438	3125	384	2671	258	330	1108	285	1734	422
MSTRG.1091	6233	1413	309	9001	46	865	2835	425	8365	666	36	3097	365	11349	12
MSTRG.10910	94	361	65	874	80	118	677	184	752	229	487	841	57	600	52
MSTRG.10911	3	260	1046	110	565	0	439	1308	27	1117	1	579	1785	26	400
MSTRG.10912	268	776	887	1231	953	270	111	531	1322	470	283	240	488	494	876
MSTRG.10913	32	102	1428	9493	1623	0	534	689	9795	5034	2	115	922	5268	6518
MSTRG.10914	9549	3582	0	1	49	6430	4490	32	1	190	5885	5147	1	1	43
MSTRG.10915	1458	3	0	2605	80	1064	1	35	6145	119	1115	8	1	2095	74
MSTRG.10916	0	84	1030	92	128	0	91	262	260	311	0	145	474	68	93
MSTRG.10917	106	501	3635	3555	390	15	267	3537	5636	587	33	471	4125	2772	158
MSTRG.10918	160	1186	251	3935	154	7	712	187	2246	153	10	405	438	2616	34
MSTRG.10919	0	747	0	0	723	0	1181	0	0	339	0	99	0	0	313
MSTRG.1092	316	196	3	17	17	171	199	443	11	38	208	335	3	39	132
MSTRG.10920	208	2	0	1882	13	182	0	400	92	56	285	119	0	318	82
MSTRG.10921	3388	198	477	4	833	2681	249	681	2	1048	2592	193	480	38	941
MSTRG.10922	0	166	3365	73	132	0	430	1248	60	122	0	334	2096	96	179
MSTRG.10923	1139	268	1682	112	0	429	427	1358	186	0	518	271	1469	170	0
MSTRG.10924	1056	2	74	42	0	803	75	196	22	0	1145	95	80	66	0
MSTRG.10925	79	1899	44	9	12	35	1373	250	563	251	635	1920	53	14	24
MSTRG.10926	965	259	227	288	2675	458	728	139	373	5809	195	542	260	229	3584
MSTRG.10927	1	183	11	2240	166	16	424	0	2743	237	57	223	88	1864	349
MSTRG.10928	386	0	0	269	285	35	4	0	108	400	175	3	0	109	357
MSTRG.10929	948	9393	20200	123	577	785	10133	3719	421	543	1734	9250	21227	185	498
MSTRG.1093	382	74	2	0	292	280	19	429	81	295	134	0	3	1	325
MSTRG.10930	254	1621	1	1675	18	218	1474	1	638	34	285	2260	3	2741	53
MSTRG.10931	104	389	474	61	12563	50	341	145	113	11076	71	305	295	18	4559
MSTRG.10932	47	625	4035	870	12267	13	285	3489	558	17799	16	209	3568	366	7211
MSTRG.10933	55	0	224	0	1	82	14	66	0	3	39	0	387	0	1
MSTRG.10934	67	4462	0	4519	74	165	9140	0	4301	115	53	4723	0	3092	4
MSTRG.10935	16109	0	730	1429	795	16865	0	603	471	1037	4406	0	108	879	895
MSTRG.10936	5865	13	456	0	6	6097	10	249	0	10	1615	30	1168	0	3
MSTRG.10937	4355	0	98	1589	1	2156	0	19	1914	2	1154	0	118	1447	1
MSTRG.10938	1580	0	578	1	6585	514	0	338	1	8549	1521	0	605	5	2761
MSTRG.10939	0	593	129	125	3844	0	1026	238	28	10170	0	611	118	124	4758
MSTRG.1094	1522	1254	3	11	231	874	987	443	39	476	1189	1169	3	1	367
MSTRG.10940	714	7959	247	107	155	1400	9434	661	49	27	657	4102	425	75	105
MSTRG.10941	1079	0	8	6982	306	726	0	51	2612	2191	609	0	30	1096	118
MSTRG.10942	131	699	135	415	26	94	500	395	584	2	9	576	155	472	18
MSTRG.10943	1853	4378	312	1992	0	2040	3903	518	4111	4	1185	4144	376	1555	23
MSTRG.10944	21	483	19	2	1	364	728	617	2	1	243	890	213	19	1
MSTRG.10945	2386	74	484	4456	0	1599	53	181	7184	1	1796	71	652	2993	10
MSTRG.10946	1493	475	1580	2385	1	1896	461	655	1988	4	1725	440	657	2178	1
MSTRG.10947	3424	248	870	24	16	12790	218	678	23	28	14	272	967	26	32
MSTRG.10948	0	3604	29	1948	846	0	4279	477	779	635	0	2895	0	1208	6897
MSTRG.10949	7289	730	0	0	237	6932	985	0	0	344	4914	297	0	0	1736
MSTRG.1095	8323	3279	2	6497	1	6818	5815	410	5514	2	3828	2651	9	2933	14
MSTRG.10950	169	2352	89	6054	0	179	3131	108	2883	0	154	3505	11	4209	0
MSTRG.10951	921	194	0	807	1021	719	414	0	606	1854	339	383	0	2647	749
MSTRG.10952	1805	6693	2972	437	0	1562	5337	1154	892	0	1748	7984	466	1067	0
MSTRG.10953	192	268	10837	3466	253	34	146	5078	6764	641	127	35	2019	4953	343
MSTRG.10954	1680	11623	1526	1580	565	667	12875	795	3447	400	2074	9102	304	1669	1178
MSTRG.10955	493	1518	109	541	0	733	1042	174	520	0	478	1899	189	320	0
MSTRG.10956	373	1237	438	1603	0	290	1382	462	749	0	348	1026	70	3251	0
MSTRG.10957	56	21671	8	543	560	101	21254	198	99	61	28	18178	14	632	802
MSTRG.10958	1172	588	2054	1462	3	1128	967	1188	964	0	807	567	349	1259	5
MSTRG.10959	287	228	6845	16	2591	142	165	4553	34	3140	316	132	1422	54	2092
MSTRG.1096	13310	86	49	80	2089	10497	95	913	28	3505	10777	78	11	0	2560
MSTRG.10960	0	2123	9627	2007	2600	0	1185	12518	3588	3415	0	2108	7097	1991	2381
MSTRG.10961	3327	2088	1889	1112	4990	3384	1196	1848	406	5393	1546	2556	1738	906	3914
MSTRG.10962	207	21	754	6815	401	170	103	525	1897	698	229	188	1438	1385	635
MSTRG.10963	0	1174	17	29914	698	0	2305	26	1623	522	0	925	123	17693	411
MSTRG.10964	2467	63	0	179	9	1077	90	1	268	51	1384	97	1	412	4
MSTRG.10965	5383	304	16	9	0	3733	129	322	76	0	2589	101	0	2	0
MSTRG.10966	847	419	28	16511	2258	423	464	2	12787	1583	558	395	0	5818	544
MSTRG.10967	173	6	3073	1842	26	124	3	1822	1934	32	178	1	553	2505	50
MSTRG.10968	50	809	555	1666	296	117	513	354	2247	895	60	470	67	578	207
MSTRG.10969	59	859	0	684	87	2	1818	0	691	124	7	863	0	1245	115
MSTRG.1097	1010	17	37	4551	1303	1190	8	83	6985	1859	541	37	82	1877	1620
MSTRG.10970	358	46314	544	17	54	368	29999	752	26	127	532	19819	236	26	48
MSTRG.10971	136	1493	875	541	25	51	1648	825	200	6	48	1368	1134	518	0
MSTRG.10972	66	114	0	578	726	26	163	0	816	499	96	11	0	749	654
MSTRG.10973	696	76	2224	21	655	690	118	2276	71	1420	629	30	2724	10	429
MSTRG.10974	33	501	1623	2	248	3	33	1335	11	455	12	33	2021	2	398
MSTRG.10975	121	1344	334	411	4864	80	2103	135	185	8429	36	598	346	93	2159
MSTRG.10976	413	3859	16	14169	1112	217	506	8	1811	1595	525	395	58	4312	618
MSTRG.10977	1159	155	0	812	0	793	53	0	1286	0	338	78	0	890	0
MSTRG.10978	7249	102	2033	180	240	6729	14	506	210	414	5240	26	2044	209	153
MSTRG.10979	23072	956	0	446	563	20634	2216	0	885	358	5692	688	0	553	304
MSTRG.1098	0	18	397	317	390	0	224	585	116	261	14	290	313	461	621
MSTRG.10980	0	1579	122	800	51	0	5158	66	1529	48	0	1766	8	914	20
