gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.2699	1062	9109	1494	3201	49	453	4735	1519	2025	171	344	6130	1879	2300	16
MSTRG.27	677	78	156	6	0	705	0	5	72	0	314	205	151	24	0
MSTRG.270	254	182	1383	110	312	135	108	525	881	307	137	27	1242	453	327
MSTRG.2700	8941	1527	3887	1774	1092	13645	1553	2458	1603	723	6281	1918	4319	802	1074
MSTRG.2701	3	3322	35	3178	130	36	3299	1	1345	67	0	4763	3	342	190
MSTRG.2702	15	923	26	2254	258	103	249	107	925	543	0	683	307	1883	511
MSTRG.2703	786	1699	0	1983	25	481	2110	0	1639	57	217	1447	0	1337	51
MSTRG.2704	4680	848	599	758	589	6905	1059	297	4917	420	2119	1011	427	997	539
MSTRG.2705	345	675	12	92	1317	165	658	104	0	425	336	181	150	4	2230
MSTRG.2706	484	320	2337	57	286	653	371	1323	24	495	97	397	1842	57	194
MSTRG.2707	784	12298	37	312	8277	1077	14312	85	366	8480	544	8375	59	260	3585
MSTRG.2708	13817	21186	838	3062	286	12923	6475	663	4918	146	8039	16678	727	2515	202
MSTRG.2709	2259	0	10874	137	0	2876	0	361	270	3	2990	1	12672	88	0
MSTRG.271	282	109	152	542	442	230	1	347	446	693	128	60	66	481	1704
MSTRG.2710	0	105	7098	538	33	0	39	5037	419	79	0	116	5405	290	152
MSTRG.2711	1448	122	24	714	1618	644	72	11	521	1843	550	67	109	745	1642
MSTRG.2712	15307	11196	5171	47	789	16578	6334	21232	64	814	5718	9160	8336	186	524
MSTRG.2713	126	630	582	478	270	0	585	665	923	402	0	562	263	489	314
MSTRG.2714	2472	1466	4773	560	147	2653	1848	2651	287	480	1094	1593	4947	140	132
MSTRG.2715	1469	152	506	3768	569	1086	264	1001	5439	412	199	384	442	2514	397
MSTRG.2716	435	253	1188	35	4361	194	726	1877	10	5284	20	947	1401	45	6674
MSTRG.2717	366	425	744	11	8	105	126	931	1	11	68	338	1215	25	17
MSTRG.2718	11	1805	0	2338	2317	41	967	1	1077	1395	137	1236	1	1078	870
MSTRG.2719	6	471	536	205	1050	34	267	503	146	966	110	608	768	389	885
MSTRG.272	62	1421	287	679	3797	40	2026	208	422	7550	8	1390	288	747	4193
MSTRG.2720	10487	820	97	124	64	5074	712	99	186	324	4756	1066	26	21	368
MSTRG.2721	2664	921	604	41	833	1452	1367	475	1	1413	1799	745	771	25	886
MSTRG.2722	4414	1585	918	242	1569	3493	1434	2149	194	2391	4285	589	631	193	809
