gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.7199	966	3098	773	4117	1267	1081	2751	332	4833	1122	374	2988	1234	2443	8865
MSTRG.72	135	1501	329	810	84	106	824	145	655	212	31	3841	381	8395	1204
MSTRG.720	7	2419	284	118	489	58	1973	415	260	414	8	1849	122	65	3806
MSTRG.7200	1391	2132	404	155	1482	1199	1783	579	57	1049	491	1481	818	16	11867
MSTRG.7201	2	1879	602	130	0	2	4073	49	218	0	2	2312	672	114	0
MSTRG.7202	1814	1038	372	11713	682	1696	1166	371	14819	644	1158	1594	861	12511	427
MSTRG.7203	2327	314	1538	521	2869	1955	44	878	185	4681	1630	155	1988	245	1612
MSTRG.7204	0	317	792	529	238	0	754	613	561	237	0	592	708	927	267
MSTRG.7205	1151	302	277	6555	34	1584	658	389	6528	237	69	537	719	4731	17
MSTRG.7206	2248	4290	279	3157	1698	8966	3778	6781	83428	1747	778	4864	413	7726	991
MSTRG.7207	66	325	2765	1461	2169	257	302	4876	2015	2426	32	229	3367	1345	1386
MSTRG.7208	1602	719	62	5087	3401	4068	1518	26	5473	3863	400	723	36	4947	4304
MSTRG.7209	1336	9	122	2516	3202	1041	113	70	1079	5498	1328	108	329	2163	2447
MSTRG.721	280	2598	240	3431	359	282	5006	490	3040	235	133	2315	1031	2158	2771
MSTRG.7210	1858	32	199	80	185	1671	30	249	52	350	772	29	73	124	116
MSTRG.7211	107	119	447	1164	359	80	88	108	766	528	25	60	456	736	330
MSTRG.7212	5473	61	5097	43	45	3877	3	3628	187	201	2342	5	5136	55	65
MSTRG.7213	448	0	2822	1915	2351	430	0	3168	2624	4414	165	86	3297	2097	6976
MSTRG.7214	220	35	241	1918	1012	180	116	372	2336	683	136	4	244	1694	1902
MSTRG.7215	67	59	25	411	67	170	22	11	180	41	27	11	45	993	9
MSTRG.7216	42	0	369	5	233	25	0	422	25	196	0	47	748	37	345
MSTRG.7217	4958	2039	2861	1511	1228	1880	2248	1850	2170	298	4488	1776	576	1060	352
MSTRG.7218	24747	1651	1970	4672	2489	5673	1747	1147	1234	1838	12905	2136	269	2317	2356
MSTRG.7219	32026	2182	70	4685	1154	27601	2353	66	4014	6	19420	2353	618	4598	193
MSTRG.722	4	8	24	5154	2089	53	31	154	7306	4972	0	42	39	14476	2417
MSTRG.7220	1192	61	165	10674	466	263	0	442	6488	1527	108	0	181	8636	1342
MSTRG.7221	4909	0	708	98	47	959	0	318	743	103	846	0	94	295	115
MSTRG.7222	2836	387	0	335	8	1933	42	132	171	15	1115	267	11	322	74
MSTRG.7223	1587	755	707	122	5	1244	214	472	184	1	1592	601	103	102	15
MSTRG.7224	377	1456	166	443	0	340	2736	72	533	0	100	1361	391	601	0
MSTRG.7225	4662	690	648	3628	365	3719	500	358	1919	359	2861	1156	402	3791	275
MSTRG.7226	11937	487	105	407	2258	16166	452	273	336	2724	7655	1037	203	394	2267
MSTRG.7227	95	566	0	3661	7	0	191	0	803	10	0	309	0	1791	22
MSTRG.7228	133	199	4443	1875	3886	0	510	2822	46	7195	0	668	4632	85	4876
MSTRG.7229	48	2516	15501	43	507	0	1235	11601	42	225	0	2213	10711	65	581
MSTRG.723	191	491	15224	2741	8436	192	690	8848	4583	14373	86	464	3316	2581	1605
MSTRG.7230	17	589	436	7	3	29	538	3871	6	1	11	378	319	28	14
MSTRG.7231	2	1	0	10	3273	1	98	84	19	1148	1	130	3	53	1726
MSTRG.7232	19	2904	1779	0	82	27	5509	1625	0	61	285	4718	1918	0	103
MSTRG.7233	21	272	2396	490	9464	6	3095	6333	698	14418	24	564	3097	769	7670
MSTRG.7234	0	428	90	283	21	0	374	82	561	33	0	186	267	142	78
MSTRG.7235	0	94	44	129	81	0	279	40	130	56	0	60	20	104	156
MSTRG.7236	1904	419	219	1131	355	4394	142	100	1098	16986	2489	319	542	1108	360
MSTRG.7237	490	3537	97	5992	1080	480	3979	172	8749	710	134	3118	47	8629	460
MSTRG.7238	0	2163	15073	571	211	0	3293	18837	875	806	0	2917	16806	862	202
MSTRG.7239	12932	334	12499	27849	7277	12623	297	13631	30696	5962	3421	239	13853	16598	2412
MSTRG.724	3863	152	540	78	1085	3673	192	0	111	1551	4147	215	241	97	559
MSTRG.7240	3634	56	282	11766	0	2957	50	0	9227	84	718	33	0	7556	73
MSTRG.7241	1451	469	174	673	2445	929	377	60	1630	2065	291	725	35	593	2007
MSTRG.7242	989	1418	35	1211	133	737	12924	225	1759	103	585	3399	0	1339	140
MSTRG.7243	41	1221	23	9937	2498	75	8024	175	17233	3558	21	1450	23	14669	1931
MSTRG.7244	61	65	5854	1379	459	25	46	10036	1648	108	56	571	9255	655	376
MSTRG.7245	1116	286	23	495	1010	2030	474	77	2783	206	1337	159	0	2521	582
MSTRG.7246	324	55	63	373	511	147	28	113	364	466	256	124	99	561	504
MSTRG.7247	106	0	22	213	92	9	0	94	142	6	29	0	17	310	15
MSTRG.7248	4507	336	146	834	32	5102	2652	8	285	37	2701	580	24	1127	43
MSTRG.7249	389	6	72	148	129	442	85	1	0	16	196	42	1	31	46
MSTRG.725	732	1016	9012	7498	23	55	1337	5897	13790	0	807	1040	2012	878	0
MSTRG.7250	1753	8	8	0	102	713	124	3	0	150	1134	3	1	0	125
MSTRG.7251	3139	413	335	555	2330	3141	3776	354	135	2377	2655	563	564	190	2113
MSTRG.7252	2731	35	32	82	2753	1811	42	143	571	2366	1213	62	170	82	3887
MSTRG.7253	2502	161	8	16823	3494	3495	183	4	9320	8321	1949	303	305	3955	1972
MSTRG.7254	1517	574	25	2	7	1046	360	10	341	21	1885	450	61	73	45
MSTRG.7255	30	35	76	2415	159	53	91	0	648	177	25	16	0	1276	2
MSTRG.7256	14	182	304	272	47	26	327	6	185	60	66	246	293	183	24
MSTRG.7257	2022	322	17	2858	2358	1551	128	1326	3029	2707	1402	110	107	5981	2760
MSTRG.7258	1055	16871	89	6253	33	362	16201	2	5529	14	701	16009	35	3522	7
MSTRG.7259	348	616	47	324	80	282	2176	2851	676	40	198	481	90	253	3
MSTRG.726	66	1505	2623	1120	1	2	9481	53	1570	150	4	2647	1880	2046	8
MSTRG.7260	1565	2395	66	2089	1373	1732	2097	65	3567	1302	665	2300	68	2486	1106
MSTRG.7261	6	87	23	4496	1710	56	33	2	2564	2899	88	202	301	2423	1169
MSTRG.7262	5675	340	525	688	196	2842	476	463	573	83	5463	282	441	461	159
MSTRG.7263	325	30	185	55	82	270	64	37	60	27	183	174	161	29	51
MSTRG.7264	46	379	2983	3695	2630	15	611	3714	2315	1014	40	286	1742	691	3815
MSTRG.7265	111	2177	7	23	139	34	2342	9	24	159	19	1935	26	0	258
MSTRG.7266	265	22	124	1189	73978	10	15	18	587	44358	24	4	264	957	30484
MSTRG.7267	0	5610	255	12955	518	0	7142	260	9954	834	78	3208	503	8025	519
MSTRG.7268	6	5083	942	46	475	0	4814	1199	7	1473	25	4362	1378	16	3171
MSTRG.7269	65	56	488	123	226	18	128	519	136	89	2	34	346	125	68
MSTRG.727	3171	72	0	69	5	3527	252	0	0	37	1217	142	0	0	9
MSTRG.7270	2591	13139	72	260	7706	2582	19060	0	35	6369	1594	12753	0	242	5843
MSTRG.7271	180	21	0	8	526	246	3	0	1	234	190	5	0	7	469
MSTRG.7272	2045	7	4018	672	178	1614	14	3374	800	25	1544	48	4869	572	44
MSTRG.7273	3298	20	2007	237	5208	2822	3	1754	93	4598	2362	1	2275	113	9373
MSTRG.7274	57	173	94	0	4281	0	469	2	0	4861	1	446	88	0	2710
MSTRG.7275	0	1043	1009	1455	146	0	455	826	7628	90	0	640	1122	489	1
MSTRG.7276	1534	2564	301	0	1766	362	3461	881	0	1843	914	2477	76	0	1226
MSTRG.7277	0	37	614	239	127	2	8	537	399	30	4	12	543	304	13
MSTRG.7278	2453	350	3557	705	2010	2369	54	1222	1113	1704	1240	224	2690	840	2099
MSTRG.7279	742	340	1109	7334	212	352	371	625	6274	334	693	365	1490	4589	553
MSTRG.728	589	179	441	70	330	702	238	705	72	364	718	908	364	63	300
MSTRG.7280	619	1403	1425	350	77	678	1537	786	419	173	838	1831	936	245	75
MSTRG.7281	733	9	130	420	7	11	81	126	3027	5	16	22	153	580	3
MSTRG.7282	502	425	87	0	527	140	513	49	0	643	271	355	172	0	668
MSTRG.7283	224	117	5592	994	776	351	21	4840	399	1732	391	34	8435	79	458
MSTRG.7284	1361	0	917	5583	9232	1179	0	926	7090	7871	1710	0	761	4439	6015
MSTRG.7285	991	4613	1496	2839	1445	867	5399	67	5150	2053	859	6160	1611	1275	1133
MSTRG.7286	119	1920	1777	2540	291	173	2167	28341	1739	517	138	1881	2624	1785	423
MSTRG.7287	605	321	1112	6278	1771	5896	132	12741	4031	2045	286	611	1185	1955	1906
MSTRG.7288	2992	11	127	1690	0	3079	21	120	1256	0	4353	260	260	800	0
MSTRG.7289	0	862	329	1136	79110	0	886	678	621	26796	0	1194	1554	734	93308
MSTRG.729	2858	5457	135	1	0	2249	36249	135	107	48	1919	9863	131	4	0
MSTRG.7290	383	270	21	277	240	296	992	113	624	824	236	87	3	433	343
MSTRG.7291	107	439	10	91	31	166	468	27	93	153	40	513	5	92	168
MSTRG.7292	378	2785	153	180	717	128	1437	134	132	792	285	1990	125	50	854
MSTRG.7293	4193	1899	0	468	2684	3601	1133	0	1368	2820	2354	2119	0	549	1952
MSTRG.7294	2714	1069	10	762	482	2610	591	90	521	156	2544	793	11	945	354
MSTRG.7295	198	103	4193	0	486	236	356	3080	22	143	95	120	1277	72	299
MSTRG.7296	233	66	557	40	10	214	163	317	107	33	161	162	106	251	1
MSTRG.7297	513	3742	931	667	0	394	7226	646	305	0	624	4526	169	109	0
MSTRG.7298	2616	958	3609	136	24	3203	918	1605	78	43	729	708	3344	27	48
MSTRG.7299	3669	2544	1228	1829	84	3627	641	1181	3936	52	966	1061	1043	856	100
MSTRG.73	0	1455	386	796	92	0	802	199	638	203	0	3793	363	8341	1248
MSTRG.730	296	85	224	243	137	219	3	119	227	259	222	0	60	109	123
MSTRG.7300	3957	3192	4652	3447	171	3812	12629	434	12485	0	580	5875	1617	1261	0
MSTRG.7301	111	2059	520	454	4232	48	4259	866	559	4540	307	2569	681	209	4629
MSTRG.7302	435	60	1712	8453	0	602	25	1438	3048	0	180	17	924	5997	0
MSTRG.7303	0	241	678	805	386	135	185	145	712	842	140	171	375	604	739
MSTRG.7304	0	267	12820	4	391	0	1129	96	12	669	0	1387	15603	38	529
MSTRG.7305	1142	13	0	3213	5336	1249	78	0	1404	14460	304	6	0	2468	7278
MSTRG.7306	3	13	531	162	570	96	32	339	320	1056	1	4	399	276	685
MSTRG.7307	1157	192	2968	1569	207	1468	93	810	400	569	291	96	1906	1746	320
MSTRG.7308	38	0	441	2176	1248	14	0	438	1669	4060	29	0	91	2851	17
MSTRG.7309	178	1617	8224	1901	34	166	10336	4424	1984	76	190	3178	3810	1350	3
MSTRG.731	715	0	93	1	2688	959	0	31	52	4237	579	0	55	0	3883
MSTRG.7310	662	2029	4907	2057	320	322	12205	5971	78	676	403	3950	6038	1237	138
MSTRG.7311	13	364	15195	435	246	103	1970	13957	424	231	11	595	15474	536	495
MSTRG.7312	139	589	30	125	807	269	4054	0	154	586	182	982	25	530	1224
MSTRG.7313	422	5522	36	2386	324	18	3811	8	2214	152	170	5092	124	189	126
MSTRG.7314	21076	3260	1862	1976	271	11738	1024	1682	1062	196	9898	1264	1743	721	90
MSTRG.7315	2058	409	211	30	213	2351	877	400	8	778	2229	539	222	3	356
MSTRG.7316	2658	1572	648	15142	1227	3163	2727	481	4668	4340	588	1005	800	4608	1708
MSTRG.7317	74	621	568	10835	62	45	200	764	5792	99	12	333	675	5598	45
MSTRG.7318	2452	1496	1507	912	4581	1824	3803	252	769	3303	2481	1244	2224	1230	2908
MSTRG.7319	4948	0	1196	282	128	2136	0	1050	143	45	5343	0	1626	194	17
MSTRG.732	720	8926	1448	76	320	891	54853	1223	185	35	589	16457	1759	71	788
MSTRG.7320	248	820	24	1336	163	31	416	100	1553	203	436	297	86	1389	74
MSTRG.7321	21	2457	330	1	7393	30	1116	107	0	6842	54	1224	274	0	5984
MSTRG.7322	497	70	411	319	565	226	77	448	84	253	407	96	420	153	435
MSTRG.7323	493	332	150	2582	382	390	311	117	2006	628	239	159	492	2557	615
MSTRG.7324	75	2092	740	451	5220	79	2213	580	514	6955	134	2047	669	726	5458
MSTRG.7325	2170	624	442	1731	1889	2239	497	1191	1274	8943	1370	594	1044	1092	1882
MSTRG.7326	79	1131	303	28	1030	65	1034	246	55	1085	69	982	471	21	1013
MSTRG.7327	24040	1865	10	0	1589	32956	629	6	0	1676	97661	1773	43	0	1252
MSTRG.7328	38304	66	2549	3281	4560	26188	30	2136	2366	5151	21535	126	2528	2216	4698
MSTRG.7329	614	28	352	460	2357	403	222	311	1543	944	715	122	349	239	3259
