gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.11799	701	413	203	0	0	250	391	102	0	0	554	342	90	0	0
MSTRG.118	137	240	120	1	0	44	145	78	215	0	256	222	0	18	0
MSTRG.1180	9	1047	0	152	74	133	1472	0	31	39	0	1451	44	398	100
MSTRG.11800	145	0	244	0	0	105	0	123	0	0	153	0	563	0	0
MSTRG.11801	706	5387	4436	0	0	580	35832	5313	0	0	467	9706	1547	0	0
MSTRG.11802	14242	1254	2398	0	0	11877	7662	3991	0	0	20288	2562	3313	0	0
MSTRG.11803	1135	981	317	0	0	735	5700	82	0	0	877	2287	653	0	0
MSTRG.11804	3	211	98	0	0	14	1490	111	0	0	2	407	9	0	0
MSTRG.11805	721	4	1999	0	0	528	156	349	0	0	456	0	3244	0	0
MSTRG.11806	630	1196	23	0	0	907	7543	456	0	0	355	2253	236	0	0
MSTRG.11807	19	4720	125	0	0	67	29003	54	0	0	11	7855	159	0	0
MSTRG.11808	219	12321	1022	0	0	553	9127	215	0	0	125	8916	770	0	0
MSTRG.11809	5126	577	17	0	0	1552	399	230	0	0	3326	256	9	0	0
MSTRG.1181	5003	2812	71	76	3119	2944	3479	0	6	2817	3045	3852	8	100	2141
MSTRG.11810	5254	2798	11023	0	0	2621	2155	17819	0	0	5265	1751	12894	0	0
MSTRG.11811	645	1536	30	0	0	139	2002	6	0	0	366	1854	21	0	0
MSTRG.11812	77	4467	662	0	0	128	1960	509	0	0	19	3936	894	0	0
MSTRG.11813	454	0	2191	0	0	299	0	3937	0	0	278	0	2255	0	0
MSTRG.11814	135	0	3797	0	0	0	0	3968	0	0	0	0	4909	0	0
MSTRG.11815	385	3	8535	0	0	295	244	10470	0	0	414	142	9373	0	0
MSTRG.11816	151	89	351	0	0	498	430	366	0	0	163	86	320	0	0
MSTRG.11817	5316	121	1777	0	0	1816	227	1318	0	0	4064	351	1921	0	0
MSTRG.11818	1	423	667	0	0	12	230	851	0	0	4	382	2458	0	0
MSTRG.11819	2056	3488	1613	0	0	2483	2875	755	0	0	1895	1757	2863	0	0
MSTRG.1182	481	120	1950	22950	24	475	11366	3257	1199	3	334	628	2002	3771	41
MSTRG.11820	5527	4939	3530	0	0	9365	2375	2845	0	0	2730	1622	4192	0	0
MSTRG.11821	0	1163	193	0	0	0	37	20	0	0	0	3822	110	0	0
MSTRG.11822	1784	613	4732	0	0	1115	405	2308	0	0	1071	404	4927	0	0
MSTRG.11823	0	556	1	0	0	0	245	1	0	0	0	513	1	0	0
MSTRG.11824	203	28	4	0	0	317	134	1	0	0	939	50	25	0	0
MSTRG.11825	702	539	2318	0	0	405	1316	2478	0	0	318	665	2318	0	0
MSTRG.11826	5244	223	52	0	0	3540	272	152	0	0	4940	74	70	0	0
MSTRG.11827	688	0	637	0	0	720	0	325	0	0	519	0	42	0	0
MSTRG.11828	865	292	34	0	0	761	480	343	0	0	610	543	21	0	0
MSTRG.11829	4349	15847	7	0	0	4852	21524	232	0	0	2776	12993	4	0	0
MSTRG.1183	4548	101	324	23	161	2976	29	189	31	243	2805	33	347	31	250
MSTRG.11830	8827	13385	467	0	0	6160	5186	403	0	0	5731	5296	89	0	0
MSTRG.11831	1433	21	9472	0	0	1323	0	6165	0	0	1036	0	2012	0	0
MSTRG.11832	3267	255	690	0	0	5102	169	813	0	0	925	492	549	0	0
MSTRG.11833	211	2840	0	0	0	295	1739	31	0	0	209	3185	19	0	0
MSTRG.11834	71	1117	0	0	0	94	1170	50	0	0	56	1129	0	0	0
MSTRG.11835	97	571	14	0	0	108	739	75	0	0	15	510	6	0	0
MSTRG.11836	3	55	12	0	0	20	47	2	0	0	0	29	20	0	0
MSTRG.11837	1951	489	102	0	0	1857	314	137	0	0	1134	321	267	0	0
MSTRG.11838	610	0	47	0	0	386	0	72	0	0	344	0	57	0	0
MSTRG.11839	440	198	142	0	0	350	139	70	0	0	228	209	21	0	0
MSTRG.1184	3	2108	311	3	3676	6	3748	223	77	7260	1	2688	918	1	3169
MSTRG.11840	83	5422	3	0	0	0	36231	21	0	0	35	9563	40	0	0
MSTRG.11841	503	1151	0	0	0	269	7245	0	0	0	403	2271	0	0	0
MSTRG.11842	228	266	528	0	0	116	2293	436	0	0	196	802	255	0	0
MSTRG.11843	451	678	300	0	0	192	655	439	0	0	18	787	289	0	0
MSTRG.11844	204	219	207	0	0	81	293	189	0	0	160	379	319	0	0
MSTRG.11845	169	0	212	0	0	22	0	263	0	0	163	0	380	0	0
MSTRG.11846	1695	234	4	0	0	997	671	1063	0	0	1240	420	2	0	0
MSTRG.11847	263	627	0	0	0	487	575	138	0	0	67	885	0	0	0
MSTRG.11848	3344	102	1364	0	0	1840	162	406	0	0	2138	182	1374	0	0
MSTRG.11849	326	543	965	0	0	203	357	584	0	0	85	372	1130	0	0
MSTRG.1185	783	2579	204	2	34	394	1255	215	5	180	218	2553	270	10	189
MSTRG.11850	316	228	405	0	0	138	88	362	0	0	584	180	1283	0	0
MSTRG.11851	382	12140	103	0	0	442	18329	211	0	0	200	12002	189	0	0
MSTRG.11852	12081	1060	2024	0	0	10172	659	2845	0	0	7406	1280	3515	0	0
MSTRG.11853	208	1	320	0	0	134	8	155	0	0	205	1	592	0	0
MSTRG.11854	1218	2174	180	0	0	1091	2974	137	0	0	577	1754	346	0	0
MSTRG.11855	773	4126	53	0	0	1413	3657	52	0	0	664	4559	45	0	0
MSTRG.11856	5252	10815	6147	0	0	2161	19071	5760	0	0	3072	14108	5839	0	0
MSTRG.11857	3905	23	891	0	0	4506	29	5011	0	0	2314	26	2728	0	0
MSTRG.11858	9236	492	1826	0	0	3579	369	847	0	0	618	286	2018	0	0
MSTRG.11859	1949	3758	592	0	0	1402	3597	177	0	0	1385	6428	435	0	0
MSTRG.1186	1221	62	409	259	162	649	66	524	357	67	468	122	503	268	85
MSTRG.11860	1817	64	486	0	0	1334	173	708	0	0	372	324	363	0	0
MSTRG.11861	2343	0	0	0	0	3180	1	0	0	0	2657	1	0	0	0
MSTRG.11862	4242	845	1719	0	0	6378	1249	3431	0	0	2456	2376	1424	0	0
MSTRG.11863	1156	239	9	0	0	1353	25	3	0	0	687	129	24	0	0
MSTRG.11864	4157	0	72	0	0	626	0	112	0	0	1562	0	81	0	0
MSTRG.11865	966	537	737	0	0	965	288	479	0	0	317	181	325	0	0
MSTRG.11866	477	179	105	0	0	345	1315	64	0	0	377	353	184	0	0
MSTRG.11867	140	87	143	0	0	3	99	126	0	0	4	92	134	0	0
MSTRG.11868	4131	838	4	0	0	4172	766	34	0	0	2354	497	12	0	0
MSTRG.11869	4222	1132	87	0	0	3063	452	228	0	0	3058	632	281	0	0
MSTRG.1187	466	1544	1070	1222	95	431	1668	1785	1653	116	281	1001	1421	1595	68
MSTRG.11870	7824	16066	1294	0	0	2748	18316	173	0	0	3925	15880	1044	0	0
MSTRG.11871	30	438	941	0	0	0	356	3341	0	0	0	555	1984	0	0
MSTRG.11872	490	1730	189	0	0	2937	3300	4352	0	0	262	1980	168	0	0
MSTRG.11873	1925	0	32	0	0	12166	15	515	0	0	790	14	83	0	0
MSTRG.11874	31	12346	806	0	0	45	10848	701	0	0	38	13059	930	0	0
MSTRG.11875	35	885	26	0	0	324	571	111	0	0	14	500	17	0	0
MSTRG.11876	753	307	4248	0	0	2094	691	7775	0	0	265	398	5076	0	0
MSTRG.11877	4947	183	6154	0	0	2799	342	4367	0	0	3168	142	5686	0	0
MSTRG.11878	8614	2179	942	0	0	2402	2205	561	0	0	4167	2997	1081	0	0
MSTRG.11879	13726	2316	29844	0	0	5460	2463	42841	0	0	10159	3287	30576	0	0
MSTRG.1188	243	344	114	127	2479	319	101	22	200	2409	91	106	321	196	797
MSTRG.11880	61	742	2910	0	0	134	1390	5160	0	0	536	1228	1575	0	0
MSTRG.11881	195	500	4865	0	0	0	153	4185	0	0	44	2839	4348	0	0
MSTRG.11882	29	884	55	0	0	14	63	204	0	0	53	435	292	0	0
MSTRG.11883	24	1607	0	0	0	36	1052	5	0	0	44	1314	6	0	0
MSTRG.11884	403	1198	3630	0	0	475	2561	2940	0	0	374	1373	2823	0	0
MSTRG.11885	318	117	3049	0	0	198	44	3237	0	0	166	59	2408	0	0
MSTRG.11886	5	388	56	0	0	10	293	55	0	0	49	729	22	0	0
MSTRG.11887	13	746	183	0	0	14	567	126	0	0	103	554	107	0	0
MSTRG.11888	30	244	333	0	0	44	92	24	0	0	84	83	245	0	0
MSTRG.11889	1291	91	93	0	0	1079	49	17	0	0	820	115	74	0	0
MSTRG.1189	1314	1374	54	446	330	552	1204	91	629	152	2313	1194	138	621	433
MSTRG.11890	2366	4048	32393	0	0	2150	6187	36601	0	0	1750	2508	35898	0	0
MSTRG.11891	1937	0	6627	0	0	2178	2	89584	0	0	1061	0	6213	0	0
MSTRG.11892	1282	414	128	0	0	1213	253	64	0	0	711	469	131	0	0
MSTRG.11893	29	43	2	0	0	27	88	1	0	0	5	15	7	0	0
MSTRG.11894	784	1042	0	0	0	551	613	54	0	0	461	1034	0	0	0
MSTRG.11895	352	1275	11	0	0	218	467	38	0	0	262	765	91	0	0
MSTRG.11896	702	86	93	0	0	713	208	131	0	0	193	103	246	0	0
MSTRG.11897	366	15568	0	0	0	415	16578	0	0	0	26	11671	1	0	0
MSTRG.11898	466	4087	17292	0	0	571	1567	18112	0	0	201	2740	8886	0	0
MSTRG.11899	454	107	13324	0	0	452	135	10600	0	0	332	119	11202	0	0
MSTRG.119	919	257	338	153	85	468	209	136	114	103	282	303	295	250	44
MSTRG.1190	3792	167	3141	0	8535	2169	402	2163	0	7493	1654	250	2907	0	12067
MSTRG.11900	493	300	1	0	0	506	165	1	0	0	324	200	1	0	0
MSTRG.11901	0	210	3	0	0	0	124	2	0	0	0	521	4	0	0
MSTRG.11902	21684	3665	1	0	0	22175	5289	1	0	0	5849	1349	1	0	0
MSTRG.11903	3004	1973	99	0	0	3265	3786	114	0	0	980	2304	84	0	0
MSTRG.11904	767	456	1	0	0	845	215	1	0	0	193	872	1	0	0
MSTRG.11905	4	2003	1	0	0	146	423	0	0	0	0	2325	1	0	0
MSTRG.11906	3884	9	0	0	0	3859	662	1	0	0	972	221	0	0	0
MSTRG.11907	15311	257	57	0	0	14696	192	84	0	0	3818	158	156	0	0
MSTRG.11908	18	1629	4	0	0	0	567	20	0	0	25	1105	16	0	0
MSTRG.11909	13865	327	0	0	0	11607	242	1	0	0	7638	212	1	0	0
MSTRG.1191	105	303	196	3513	428	274	240	346	6646	887	43	207	226	1606	967
MSTRG.11910	5283	640	9472	0	0	3074	285	17057	0	0	1167	116	10903	0	0
MSTRG.11911	619	479	8835	0	0	263	4435	7168	0	0	122	2486	8108	0	0
MSTRG.11912	0	950	0	0	0	0	1147	30	0	0	0	1520	3	0	0
