gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.3599	8838	36	42	2009	21	5225	20	293	1770	239	3667	269	391	1087	26
MSTRG.36	3853	2383	200	107	0	4032	2117	378	113	0	897	2379	459	82	0
MSTRG.360	6316	0	74	135	20170	6104	18	283	0	25383	10208	24	6	81	12832
MSTRG.3600	5944	461	0	98	197	3953	320	143	19	126	2758	292	111	37	170
MSTRG.3601	341	315	6	97	1086	120	125	221	53	332	313	111	243	114	702
MSTRG.3602	65	2520	634	66	294	59	1879	954	250	129	127	2446	1086	214	29
MSTRG.3603	3271	715	15	3206	928	2378	725	293	2069	868	5441	297	289	1155	1359
MSTRG.3604	523	969	855	25	27	636	1231	772	68	43	389	465	1350	47	23
MSTRG.3605	0	884	1025	2828	212	0	1031	232	3531	251	0	1280	760	2393	440
MSTRG.3606	89	127	180	6317	436	22	12	150	8185	464	21	16	128	4860	430
MSTRG.3607	0	84	1453	2412	0	24	0	742	1472	0	1	67	735	1320	0
MSTRG.3608	35462	35	4075	119	9	141066	29	2881	29	20	17350	12	4931	3	6
MSTRG.3609	415	940	701	1127	69	587	450	1147	571	42	219	332	1454	833	201
MSTRG.361	0	9661	1221	878	1565	6	5873	274	1200	1477	35	4846	372	736	1158
MSTRG.3610	25	2187	3459	17008	2561	9	2988	421	14653	2103	98	5431	3683	12425	678
MSTRG.3611	674	4643	297	0	4711	432	3130	460	0	3290	227	4340	387	0	4557
MSTRG.3612	2247	4897	848	17	1578	1512	3277	136	38	936	1943	1420	1101	27	811
MSTRG.3613	179	5967	3578	12516	1880	212	1380	4104	14603	1885	236	3071	3307	8640	2306
MSTRG.3614	1126	412	2595	74	4440	656	7	3701	284	6109	261	87	2980	95	4308
MSTRG.3615	61	790	1034	368	0	144	628	1259	488	0	231	601	1135	283	0
MSTRG.3616	154	701	0	860	0	7	485	0	504	0	11	663	1	574	0
MSTRG.3617	121	1428	65420	2775	63	0	1902	16982	783	266	56	1680	39606	2560	42
MSTRG.3618	393	156	302	837	91	725	140	228	700	347	366	107	227	691	17
MSTRG.3619	2811	47251	2792	0	235	3584	18563	2950	0	78	1639	34097	3204	0	73
MSTRG.362	13751	1892	9	5694	595	7954	1435	12	11617	617	1304	1791	14	3127	696
MSTRG.3620	5077	7824	338	246	18	4402	6799	519	86	0	4178	6202	564	217	36
MSTRG.3621	11068	207	449	295	518	5973	1062	9	168	454	1743	837	152	207	521
MSTRG.3622	7248	1	6917	114	252	1600	1	2972	111	277	2034	1	8722	75	265
MSTRG.3623	203	47	315	25	1734	16	26	566	94	1919	80	0	317	85	1622
MSTRG.3624	873	95	479	15	124	750	48	680	214	155	619	89	0	13	130
MSTRG.3625	677	1	152	553	1670	619	2	18	3508	1406	673	5	218	851	2021
MSTRG.3626	1946	224	2991	40	5	2177	128	3110	11	25	1692	83	3437	7	14
MSTRG.3627	91	5	22	98	236	207	16	321	1980	103	137	13	2	98	527
MSTRG.3628	21736	274	41	369	1479	11704	15	9	190	1026	10761	47	13	525	2145
MSTRG.3629	11109	813	3081	154	39	14260	794	1440	123	42	4299	496	2634	186	19
MSTRG.363	2987	447	38	260	5586	1322	535	11	200	2532	1158	617	8	50	6299
MSTRG.3630	580	634	565	3	81	284	282	270	4	0	339	504	507	12	60
MSTRG.3631	3	0	6093	626	27	1	0	8438	273	34	2	0	4386	293	52
MSTRG.3632	71	199	815	296	60	286	143	313	225	193	27	59	2601	196	76
MSTRG.3633	27	576	29	5269	66	18	449	71	873	40	29	393	0	4489	39
MSTRG.3634	23	31	28	8966	399	0	287	8	3193	455	0	6	24	4202	521
MSTRG.3635	89	55	1095	1288	1943	145	2583	1035	1934	1109	64	8	1682	1110	2386
MSTRG.3636	2	2441	2938	1169	10976	1	2256	1223	366	18060	22	1678	1887	280	10535
MSTRG.3637	5	8037	7955	145	1724	9	3948	2653	57	2698	6	5464	8268	110	1931
MSTRG.3638	184	528	23	3926	588	16	351	93	3816	774	85	392	36	2639	406
MSTRG.3639	299	76	116	542	8346	221	63	305	724	12799	470	88	214	762	4939
MSTRG.364	900	6431	6	7041	418	728	1886	75	3786	592	694	8913	0	4455	616
MSTRG.3640	540	33	1718	7	1011	212	12	177	12	2992	247	6	1051	51	543
MSTRG.3641	0	1	363	40	32	0	1	345	50	18	0	6	37	12	86
MSTRG.3642	282	21	206	847	5	169	88	7	342	7	38	37	398	358	4
MSTRG.3643	50	725	68	2387	193	46	822	52	2131	170	8	1363	55	1390	145
MSTRG.3644	114	2690	985	9306	1824	2517	2162	742	4375	2827	4	3074	2182	5141	1778
MSTRG.3645	2332	205	494	52	630	2042	66	299	224	1011	1672	62	820	32	518
MSTRG.3646	8132	788	336	842	2021	5614	1744	386	7695	1338	4072	675	361	515	834
MSTRG.3647	570	7	250	3706	24	371	1116	100	2329	59	347	646	245	2639	0
MSTRG.3648	42	177	0	6846	25	31	119	0	6275	1	63	244	0	7392	0
MSTRG.3649	3	27	18	33578	4256	2	127	4	12131	3145	1	236	15	34786	3482
MSTRG.365	8483	251	4	448	50	2438	402	152	780	30	7685	1310	33	130	21
MSTRG.3650	29	2517	222	3827	130	57	1624	596	5466	21	37	1521	96	2835	56
MSTRG.3651	954	579	2690	337	649	909	465	724	333	255	1433	416	2090	366	296
MSTRG.3652	58	8	4398	3139	11099	21	256	3154	2602	6348	26	79	6006	3696	5813
MSTRG.3653	3532	5089	46	102	527	2690	3191	0	286	917	2530	6202	2	101	519
