gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.1799	35010	930	226	167	72	22607	338	110	153	118	22126	977	498	161	84
MSTRG.18	1071	664	409	175	142	517	178	95	132	110	647	131	142	109	110
MSTRG.180	758	3680	1097	11	18930	504	3399	777	28	15028	501	3891	3879	147	18948
MSTRG.1800	11785	699	2230	6	61	43193	350	1558	1	49	3444	2131	1887	8	39
MSTRG.1801	11839	741	2	3532	7808	11699	412	84	11484	5922	6179	842	91	1894	4015
MSTRG.1802	749	2424	781	1950	6	1096	1505	694	418	7	1564	1936	585	93	11
MSTRG.1803	525	5615	5680	226	0	766	18801	6283	150	0	651	6618	5623	73	0
MSTRG.1804	931	1824	899	216	2	557	3256	1518	291	41	976	1451	1102	287	76
MSTRG.1805	31	986	5636	2457	184	384	649	8108	1476	1325	6	795	4793	2341	1200
MSTRG.1806	3998	249	12627	5528	140	2552	82	2481	7165	135	202	185	5867	5513	254
MSTRG.1807	61	27	871	2672	19	59	1082	395	2895	62	61	100	595	1341	37
MSTRG.1808	255	84243	360	20	28	277	18746	556	73	0	364	116742	272	38	7
MSTRG.1809	133	788	16	1645	522	173	1137	96	1104	213	51	2235	0	870	305
MSTRG.181	84	155	86	85	175	72	140	194	95	202	35	515	492	85	195
MSTRG.1810	632	1048	445	12265	1864	249	907	961	8058	1007	127	1863	168	3654	947
MSTRG.1811	788	1481	88	679	1920	719	3190	42	2051	4397	573	2136	215	1263	2499
MSTRG.1812	1027	1786	1553	142	1234	280	989	2813	220	1283	435	1272	2944	197	958
MSTRG.1813	628	432	28	342	21	256	487	159	752	26	789	335	5	797	21
MSTRG.1814	1132	1730	428	9082	4062	1278	1752	141	33978	3973	621	2178	131	4672	4846
MSTRG.1815	2485	4592	399	2822	15	1469	5447	266	2827	44	1575	6361	364	1957	231
MSTRG.1816	5294	855	1287	83	1826	88	487	69	64	1729	80	380	1573	96	1623
MSTRG.1817	1023	129	72	325	13	349	156	31	1537	52	723	109	71	578	25
MSTRG.1818	2845	63	0	1188	0	2027	58	0	1378	53	1418	16	0	755	104
MSTRG.1819	7695	5583	15515	677	519	16258	5506	9408	590	760	5042	4406	8266	621	542
MSTRG.182	191	27648	674	5734	391	212	12629	100	5223	643	138	33247	363	2588	197
MSTRG.1820	2799	18	14088	0	4638	2013	23	5103	0	7780	931	7	13690	0	3830
MSTRG.1821	1349	0	1264	613	5897	507	0	1524	319	10315	805	0	1275	1016	4384
MSTRG.1822	311	214	4637	248	11200	34	32	1001	142	5002	252	91	2534	106	3438
MSTRG.1823	14	647	1895	59	624	556	498	628	119	706	51	112	2053	5	902
MSTRG.1824	98589	79	336	1654	261	11019	144	1329	2084	371	110472	73	591	1274	286
MSTRG.1825	1339	29	3865	1568	14	1361	33	1488	3978	45	4780	11	3251	1379	0
MSTRG.1826	1171	516	2712	522	422	775	391	4042	420	1094	1133	303	3690	246	340
MSTRG.1827	1988	4853	414	209	1215	2626	1067	288	172	3858	1608	1788	375	214	2582
MSTRG.1828	1689	143	17762	3475	30	1229	289	110604	4406	6	851	282	12793	1952	52
MSTRG.1829	601	2968	836	5936	52	501	3023	1393	7621	539	219	3817	941	2468	83
MSTRG.183	6046	244	287	588	3	2776	217	204	1112	3	2975	252	176	652	152
MSTRG.1830	2474	7	788	2368	200	1762	4	1822	4158	457	2352	4	1401	2179	5147
MSTRG.1831	5434	1496	1117	1420	141	4342	787	1548	3607	164	4964	1058	1343	4347	211
MSTRG.1832	791	29	7	455	125	381	14	8	390	159	46	23	13	933	151
MSTRG.1833	9	6594	2256	87784	842	70	4256	2369	16264	350	9	5662	3525	59153	1336
MSTRG.1834	130	570	106	370	0	124	239	384	155	0	46	703	85	217	0
MSTRG.1835	55	2117	20312	3020	13140	69	2073	12857	1485	26100	28	1744	17161	1715	5984
MSTRG.1836	5394	0	43	4267	11623	3551	68	176	2735	7052	2218	79	27	4100	12423
MSTRG.1837	0	588	415	7456	1102	0	782	1170	2057	1304	0	690	698	2787	1126
MSTRG.1838	229	5690	252	656	5833	473	6141	192	197	3589	69	5344	0	858	1467
MSTRG.1839	144	7626	113	326	1690	147	9325	0	255	810	30	5623	0	232	1970
MSTRG.184	384	477	524	353	100	219	228	383	163	68	349	474	518	250	633
MSTRG.1840	717	8429	243	173	341	233	4880	335	2	1566	289	3333	904	26	442
MSTRG.1841	4425	889	971	40	3220	1182	730	670	32	6901	1333	420	1119	41	2845
MSTRG.1842	3406	325	264	324	2215	3863	565	643	11	4250	3790	295	509	242	2008
MSTRG.1843	1218	24	749	25128	278	1006	175	441	34956	212	772	0	1001	13399	404
MSTRG.1844	35	516	1375	4607	16122	27	1327	485	6862	82035	23	344	1202	3415	14231
MSTRG.1845	20	1702	475	2773	1439	2	3061	998	16366	3029	4	2946	725	4600	1477
MSTRG.1846	6746	15	1358	70	662	3865	198	292	148	1370	5193	16	690	22	1189
MSTRG.1847	387	702	13	3	1947	191	80	152	10	3900	680	689	88	2	2485
MSTRG.1848	2430	189	4312	18	74	1946	259	4224	141	200	1633	284	4175	52	91
MSTRG.1849	16	95	526	1	17807	10	243	19	1	14011	7	212	696	6	13176
MSTRG.185	33593	187	1	343	2915	12194	1231	1	67	3718	42357	527	11	290	1343
MSTRG.1850	0	1396	93	184	63	73	409	17	0	104	65	2338	153	0	43
MSTRG.1851	739	0	750	107	354	697	0	222	0	1216	627	0	683	0	413
MSTRG.1852	6179	15930	2494	1	343	6467	9127	2044	1	806	4384	10340	4476	2	217
MSTRG.1853	1181	13332	1009	90	316	1272	8559	1831	9	180	995	19356	910	229	2
MSTRG.1854	8461	1110	301	68	90	8148	1372	440	0	2	3584	1041	531	0	0
MSTRG.1855	8397	2174	1	5987	243	3398	2252	0	3911	234	2166	1096	0	3826	832
MSTRG.1856	532	2059	34	18333	1699	630	1113	100	24605	535	356	2337	146	13340	510
MSTRG.1857	409	465	10	6	146	477	1157	12	4	409	265	589	4	24	424
MSTRG.1858	6	4206	3584	97	670	99	1752	12260	158	465	0	3711	1887	11	806
MSTRG.1859	438	2727	1833	1	1077	970	4774	36	142	731	385	2973	364	31	1158
MSTRG.186	255	2583	277	3798	526	139	1971	348	6400	904	196	2401	36	2088	644
MSTRG.1860	1750	295	51	89	402	3189	443	5	79	926	1937	414	46	72	800
MSTRG.1861	155	21186	352	295	1360	232	86516	70	489	715	26	17299	189	418	606
MSTRG.1862	297	1466	185	890	0	256	2959	153	623	135	190	1957	347	811	92
MSTRG.1863	215	537	2701	293	0	213	1555	1216	217	47	189	1291	2536	14	0
MSTRG.1864	91	4	5964	2352	3897	191	1	6568	5926	5579	114	8	9902	2178	2912
MSTRG.1865	1945	2301	986	42	369	298	2763	762	1	44	3072	2659	985	0	1014
MSTRG.1866	0	81	989	0	71	0	550	868	0	57	0	117	608	0	83
MSTRG.1867	11666	12816	1550	432	286	15137	13386	1297	184	203	7485	12547	920	117	403
MSTRG.1868	20043	46	11589	5483	2209	7148	101	4632	4853	4261	19218	75	9205	22548	2665
MSTRG.1869	1431	566	1374	17966	973	1300	932	1326	24203	1278	703	673	1796	16384	373
MSTRG.187	476	738	4656	284	375	397	1274	2872	444	333	303	1048	4013	1420	273
MSTRG.1870	2854	31	2	242	7	1691	166	17	419	24	827	104	22	476	10
MSTRG.1871	2031	380	609	17	253	927	378	949	679	247	2849	0	1199	125	323
MSTRG.1872	487	207	9145	1189	9	1203	4	11412	1796	16	313	1	6470	1077	35
MSTRG.1873	4061	205	2710	916	2	2302	198	2743	1371	2	1825	868	3000	980	2
MSTRG.1874	3323	366	144	1353	2834	4257	711	0	2169	9868	2065	257	0	1749	1384
MSTRG.1875	796	471	127	505	1602	908	743	76	643	402	512	651	89	202	324
MSTRG.1876	29065	495	1259	4009	129	82996	484	2454	2992	370	12032	620	1661	3606	220
MSTRG.1877	2260	1553	835	929	2006	2508	1666	746	577	1775	1518	1473	1213	447	2192
MSTRG.1878	642	415	0	501	4156	1447	879	0	792	2691	792	1094	0	891	3605
MSTRG.1879	6	1191	1040	1470	1164	9	562	503	901	2897	44	587	367	695	1701
MSTRG.188	622	21	341	95	338	632	6	359	57	106	234	49	428	59	211
MSTRG.1880	3013	25	711	383	1681	3664	198	379	618	2234	2423	79	284	278	862
MSTRG.1881	97	4933	216	1041	1156	270	4927	419	271	1633	56	4981	73	569	764
MSTRG.1882	11300	537	3501	16913	3877	6363	196	4734	26369	11639	6424	1006	3275	15326	1949
MSTRG.1883	14757	240	314	998	741	21553	38	379	968	2006	20181	225	295	901	965
MSTRG.1884	381	1174	2151	737	97	477	286	878	205	157	271	1100	1388	839	161
MSTRG.1885	37	5590	283	154	356	23	5752	423	96	641	0	5312	143	161	552
MSTRG.1886	438	1184	3033	125	7554	334	1178	3729	97	19385	943	825	2232	109	4952
MSTRG.1887	310	250	5128	478	2147	76	183	3861	178	2478	63	326	2989	158	1962
MSTRG.1888	17375	26	2302	0	308	12453	187	4652	21	50	11743	221	2783	1	130
MSTRG.1889	127	54	875	1800	1155	96	53	2637	1104	1233	115	56	4738	713	569
MSTRG.189	2620	292	21656	1452	2505	2426	112	6978	1368	5301	1990	260	28817	1943	1657
MSTRG.1890	740	2457	335	9860	588	1109	8240	252	7310	635	389	2155	915	10383	642
MSTRG.1891	57	837	101	330	1	96	278	60	156	0	114	71	347	343	0
MSTRG.1892	292	175	86497	7591	748	263	89	3418	4543	519	0	90	157886	22889	1002
MSTRG.1893	218	205	347	7202	182	5	265	116	22439	185	0	307	529	9717	112
MSTRG.1894	147	3163	2288	31	88	192	1477	970	3	241	827	2422	2770	1	36
MSTRG.1895	663	6554	3328	1640	1398	888	6276	2407	2717	1740	521	7513	3988	1193	1233
MSTRG.1896	377	1022	5733	41153	1384	702	600	2325	2254	2738	519	621	3998	13443	1107
MSTRG.1897	559	1112	652	401	343	408	826	804	295	568	478	618	872	371	235
MSTRG.1898	1658	1976	262	713	1058	1322	1631	76	473	607	1003	1378	154	670	573
MSTRG.1899	490	10099	70	119	234	791	5898	6	45	125	844	3344	4	107	115
MSTRG.19	231	12	228	1441	202	59	9	79	1278	290	171	17	230	752	254
MSTRG.190	951	2938	208	23948	201	1347	3323	206	11331	449	1267	2368	197	8671	2091
MSTRG.1900	2354	1666	1	918	6328	788	2635	1	1078	9653	642	2259	15	826	3230
MSTRG.1901	25	5	1167	12	596	156	3	531	251	598	79	11	529	257	200
MSTRG.1902	5928	6455	4707	2689	2140	5190	8849	3501	1939	4324	4385	4399	4938	1778	2364
MSTRG.1903	767	2097	8404	756	1013	90	1964	9083	2213	3906	1263	2056	9955	1830	3084
MSTRG.1904	152	251	89	858	274	61	79	105	600	473	179	127	9	1577	1029
MSTRG.1905	755	245	14	209	11	341	1115	316	237	67	703	656	3	201	33
MSTRG.1906	2539	842	8	9969	87431	1814	936	12	3984	37232	2253	840	16	3277	114488
MSTRG.1907	386	1863	42	956	316	491	1391	32	1291	142	412	1298	6	544	412
MSTRG.1908	2	0	7870	6814	2580	0	0	20639	1051	2128	0	0	5490	1532	1650
MSTRG.1909	19	617	15044	235	3231	109	355	9361	73	3185	68	769	8183	185	3386
MSTRG.191	6	261	487	9437	800	1	922	312	6754	1699	34	1970	380	5021	3488
MSTRG.1910	74	504	27	124	4407	304	272	50	157	1742	13	182	2	545	4595
MSTRG.1911	17	82	68	418	482	6	187	121	356	335	13	53	9	436	617
MSTRG.1912	3010	2127	1	2936	257	8726	2167	1	543	304	1172	1673	1	1274	150
MSTRG.1913	845	1657	430	1	59	146	2369	33	1	56	4	1648	686	0	86
MSTRG.1914	156	237	1537	444	36	77	374	775	1101	19	86	245	827	374	102
MSTRG.1915	190	0	281	0	1001	309	34	776	0	791	180	0	526	0	339
MSTRG.1916	2448	1637	280	581	4299	1770	933	1119	778	4157	1457	953	910	894	4643
MSTRG.1917	60	9	84	23	11436	94	22	36	20	14687	95	23	33	320	9902
MSTRG.1918	7486	190	17	2621	52	6033	337	30	2562	126	5241	285	60	1744	27
MSTRG.1919	2392	4171	257	1165	14	1724	5885	41	1056	334	1150	2514	17	398	0
MSTRG.192	311	1536	407	291	17986	104	1914	183	679	10680	151	3410	224	727	8792
MSTRG.1920	1360	5486	2241	7	13	1650	3376	8658	170	11	932	2569	2373	9	7
MSTRG.1921	131	1909	23	2382	31	167	3667	1	1775	72	189	2615	1	2354	62
MSTRG.1922	508	1054	0	25	33	819	2813	0	76	0	701	5003	0	12	20
MSTRG.1923	77	19	177	7	7631	1	8	77	2	6475	3	106	41	384	6168
MSTRG.1924	8796	674	150	61	5928	9781	587	129	442	18581	4277	1933	0	0	9393
MSTRG.1925	3001	82709	4426	622	267	2957	29638	2606	233	200	2488	102076	3377	377	355
MSTRG.1926	134	322	17529	3497	874	47	188	28037	2203	1146	117	240	19605	1799	565
MSTRG.1927	454	1689	461	222	91	894	993	265	979	557	563	1582	559	312	651
MSTRG.1928	1282	3689	26	255	106	1234	2679	579	35	39	896	4631	66	271	46
MSTRG.1929	1281	0	969	352	138	1046	1	1105	172	665	1092	1	1126	165	248
MSTRG.193	3271	18813	4040	0	7597	4521	11996	2729	3	8942	1649	11242	4734	0	6052
MSTRG.1930	1302	7931	749	227	0	827	2785	1225	133	0	443	5638	934	97	1
MSTRG.1931	732	457	2103	469	680	401	441	3138	0	820	835	694	2154	223	1022
MSTRG.1932	734	339	423	0	122	463	141	635	0	200	145	322	386	0	25
MSTRG.1933	414	400	3968	470	2243	510	939	2062	540	3214	45	549	5206	346	1220
MSTRG.1934	2427	26	902	207	26	1965	21	786	0	1	1252	64	603	204	0
MSTRG.1935	2139	1215	461	0	0	2478	767	651	0	0	1289	512	1258	0	0
MSTRG.1936	286	6094	1717	427	4192	365	4370	1240	239	4720	218	6000	1062	370	6545
MSTRG.1937	1492	14301	425	137	11537	712	17054	1019	6613	25783	970	14995	464	597	23593
MSTRG.1938	339	26	855	98	400	274	20	556	85	259	129	63	618	84	372
MSTRG.1939	4064	30	17296	0	26	4551	251	18215	4	777	1544	9	18871	5	91
MSTRG.194	72	5075	391	675	587	615	6574	144	577	584	2045	4280	303	590	648
MSTRG.1940	550	43	1053	481	764	973	73	1249	493	2124	492	91	1106	223	615
MSTRG.1941	2546	64	613	174	558	3041	54	211	143	1061	2044	0	782	253	684
MSTRG.1942	1394	136	167	2844	1641	2834	2	60	1757	2124	4242	54	298	2690	1525
MSTRG.1943	109998	10741	449	522	405	21723	10244	597	156	383	73053	8139	322	192	288
MSTRG.1944	243	10715	0	23	402	129	18033	31	34	292	117	14844	0	79	508
MSTRG.1945	2339	76	1229	0	3288	1219	130	790	0	2960	1429	183	1150	0	3265
MSTRG.1946	4037	62	6016	1578	821	2774	547	4503	1650	514	4207	47	8797	2231	678
MSTRG.1947	7705	461	375	388	338	2714	129	184	35	630	5812	261	608	31	1133
MSTRG.1948	908	770	8233	217	1706	488	453	7351	12	2114	1041	224	25525	15	1067
MSTRG.1949	324	275	9955	92	1301	82	233	10943	75	214	109	275	14695	183	360
MSTRG.195	161	418	10	2088	97	74	1208	0	489	644	79	759	0	612	308
MSTRG.1950	25	213	39	763	15181	21	47	4	963	23042	16	43	2	243	13692
MSTRG.1951	5520	303	2514	411	827	3481	421	3947	464	1109	4183	471	4376	628	723
MSTRG.1952	6676	764	22350	3809	663	4641	1180	3494	2972	216	8395	934	17475	3043	851
MSTRG.1953	138	1105	271	595	191	47	218	255	455	170	12	139	423	247	207
