gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.5398	0	294	862	4	841	61	168	2289	33	1966	78	59	1596	22	744
MSTRG.5399	896	1209	654	28198	1021	1179	1405	283	20711	713	738	973	873	14360	424
MSTRG.54	2006	1395	44	24755	1574	1176	1435	62	5742	1526	1094	1321	27	12978	884
MSTRG.540	1	634	757	7672	25	9	1621	1838	5971	52	1	1400	1173	7274	51
MSTRG.5400	560	3235	151	1	2568	207	1528	0	1	1816	302	2825	9	0	1422
MSTRG.5401	260	1649	1032	191	344	117	3695	366	99	37	249	1721	1263	40	92
MSTRG.5402	565	201	0	3695	16584	513	560	1	9703	25006	452	220	4	4763	18105
MSTRG.5403	1947	1199	2741	292	129	899	2056	5077	834	69	872	1620	2896	739	65
MSTRG.5404	2431	1122	1262	1953	0	3334	926	855	4441	0	2305	530	1383	2253	0
MSTRG.5405	5773	345	2975	21	670	2715	430	10012	51	679	4673	190	4449	26	1134
MSTRG.5406	88	189	889	14591	149	53	212	594	8061	492	5	17	1922	8024	83
MSTRG.5407	982	85	2	54	451	2637	58	1	304	6125	2551	67	273	60	642
MSTRG.5408	5496	1620	4137	11	4683	3263	865	2715	49	4323	2696	1222	2743	16	1778
MSTRG.5409	1021	2434	1030	122	419	1209	2384	325	87	2460	1410	2279	436	154	676
MSTRG.541	1124	29	87	442	5	368	61	3	291	39	647	47	44	479	62
MSTRG.5410	282	1418	1517	3392	10	97	3709	1299	3253	1	33	2109	2097	1571	3
MSTRG.5411	65	130	3260	3316	1602	46	113	5952	2822	3809	12	69	3052	1958	1999
MSTRG.5412	782	58	2536	846	73	237	61	724	997	119	223	140	1937	613	14
MSTRG.5413	447	25146	518	1177	123	394	12212	599	406	246	35	18771	536	2050	339
MSTRG.5414	4159	1575	2050	682	25	2134	822	1597	457	70	5048	1216	2020	331	20
MSTRG.5415	2878	5476	140	8448	1924	2520	7270	686	13052	1035	1383	5426	54	5733	1081
MSTRG.5416	2	911	1910	123	1741	0	4896	3168	355	2158	0	398	2029	249	1030
MSTRG.5417	10362	944	207	6299	8315	5280	773	16	5770	10606	5298	1928	170	2623	10171
MSTRG.5418	1388	0	455	363	1844	1349	0	117	376	2801	1074	0	495	305	1962
MSTRG.5419	1214	70	193	414	0	1049	40	73	3680	0	566	28	151	497	0
MSTRG.542	2762	841	171	1295	11811	1154	270	276	573	22783	1075	672	152	626	11888
MSTRG.5420	1258	309	0	4156	1383	855	2047	0	2017	1860	767	439	1	935	698
MSTRG.5421	3375	126	0	447	561	719	65	0	506	219	1995	139	0	1051	507
MSTRG.5422	0	12004	1488	1338	844	0	5680	738	1001	490	0	7686	1506	1828	825
MSTRG.5423	1626	150	375	1763	122	1084	240	522	854	170	753	205	685	1179	128
MSTRG.5424	3763	94	69	312	45	1864	48	8	266	136	3143	69	37	184	45
MSTRG.5425	2480	13322	6674	430	1982	2393	5594	3994	371	941	949	20169	7208	383	1561
MSTRG.5426	54	1040	6102	15983	608	452	1428	3336	7074	391	19	1159	5055	6439	381
MSTRG.5427	1928	0	1342	749	2938	2456	0	651	1267	2801	1736	0	505	477	1859
MSTRG.5428	1718	110	0	1	1705	875	8	0	0	3083	409	0	0	1	2881
MSTRG.5429	547	21	1	825	270	485	20	2	1320	366	166	4	0	1010	206
MSTRG.543	704	100	126	5326	6808	380	37	162	12500	10735	199	26	706	5082	7635
MSTRG.5430	73	78	1	357	17	52	86	2	505	141	264	101	8	496	53
MSTRG.5431	63	274	437	1876	8788	51	52	111	814	3546	47	1070	1963	894	7163
MSTRG.5432	1877	0	427	255	109	714	0	322	162	190	1110	0	473	139	93
MSTRG.5433	2855	41	156	601	605	3082	0	50	350	1760	1862	0	103	177	621
MSTRG.5434	2316	0	1345	1013	1801	3376	0	2051	1045	2506	1647	0	1075	338	1324
MSTRG.5435	383	254	38	65	41162	193	0	23	35	17041	75	117	8	83	47138
MSTRG.5436	84	0	36	1786	1902	36	0	17	1855	1216	176	0	16	2005	3544
MSTRG.5437	33660	28	1441	3203	2989	9281	268	1519	4839	2339	18853	146	1365	2141	1052
MSTRG.5438	1936	0	770	0	1493	726	0	437	3	1282	1230	0	897	2	1014
MSTRG.5439	7784	1712	1060	924	651	12458	981	1237	1143	557	5303	1527	589	535	734
MSTRG.544	6500	1451	5774	13105	4	3271	1222	3293	9962	0	4934	1174	2077	35707	37
MSTRG.5440	1439	59	72	118	62	645	73	1432	219	1173	1987	58	56	275	96
