gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.99	80	2806	316	3792	2911	12	1314	365	812	1271	1	2471	247	2253	2569
MSTRG.990	1910	3228	2618	453	0	3474	3651	965	43	1	1743	3103	2318	608	0
MSTRG.9900	7	528	2461	1359	1879	33	870	2688	1398	2206	4	389	2307	1301	1367
MSTRG.9901	0	653	374	27	477	0	664	358	16	707	0	513	1857	11	419
MSTRG.9902	1147	471	71	702	6716	1191	430	54	688	8982	1120	230	50	596	3929
MSTRG.9903	57	4886	1168	6251	4176	50	5323	829	9834	1364	4	2703	767	854	2839
MSTRG.9904	0	1371	689	1823	1567	0	1122	597	1871	1219	0	862	307	1263	1234
MSTRG.9905	2334	302	275	830	1177	2300	1060	20	1247	3023	2532	530	51	777	2020
MSTRG.9906	263	23	0	451	6614	636	64	0	735	9578	411	9	0	1080	3515
MSTRG.9907	2635	72	0	1709	1832	2500	131	0	1086	3027	1037	69	0	411	1878
MSTRG.9908	9244	436	115	731	334	4854	337	512	2374	359	2039	358	52	804	436
MSTRG.9909	84	322	4398	9	3203	14	193	4743	93	3205	100	167	5994	2	3465
MSTRG.991	1938	188	343	126	10	2022	292	881	143	1	1596	135	333	290	39
MSTRG.9910	3958	0	9955	1550	1381	3028	0	769	671	1096	2672	0	4837	1600	525
MSTRG.9911	606	177	9739	0	154	456	9	6184	0	444	453	134	7756	0	145
MSTRG.9912	2415	0	184	4926	579	1928	0	185	5391	303	1601	0	376	3035	424
MSTRG.9913	190	28	165	479	517	130	36	450	679	341	290	3	216	663	472
MSTRG.9914	2	0	11150	202	474	0	0	5280	283	751	89	0	10777	285	733
MSTRG.9915	0	0	1678	700	1418	1	0	2835	726	1060	19	0	5376	628	1234
MSTRG.9916	121	3611	134	0	0	144	1935	9	0	0	179	1450	208	0	0
MSTRG.9917	41	2413	1050	2396	460	45	1678	886	2281	396	70	1347	1374	1669	223
MSTRG.9918	527	0	1352	388	924	141	0	778	825	826	400	0	1059	202	749
MSTRG.9919	29	48	2114	9	3841	51	48	2818	21	1922	72	49	2737	25	4137
MSTRG.992	1038	372	11215	2337	975	3275	261	7047	918	981	2119	588	10611	1145	810
MSTRG.9920	358	2195	4938	8	624	76	1999	2080	414	818	226	1689	4312	36	805
MSTRG.9921	57	1348	2058	736	139	147	1260	790	767	98	80	854	1778	620	245
MSTRG.9922	3706	0	358	1105	11	4418	0	355	1572	53	1042	0	295	335	8
MSTRG.9923	250	0	96	974	4141	283	0	139	1704	2934	228	0	378	1309	2777
MSTRG.9924	0	88	3491	920	775	0	119	1934	854	678	0	130	3177	653	1113
MSTRG.9925	2425	85	1559	3566	6	1465	178	79	4243	0	2847	144	548	3655	21
MSTRG.9926	1179	792	9206	277	0	1107	1241	3843	285	0	1481	1039	10294	362	0
MSTRG.9927	3431	501	45	787	36	3343	424	54	1501	62	1912	545	19	1057	93
MSTRG.9928	4220	161	1184	5932	64	4033	89	3054	7377	75	4178	98	1200	2156	33
MSTRG.9929	488	68	0	3934	1624	102	144	0	4076	3515	591	283	0	3801	1440
MSTRG.993	391	1594	343	6829	1477	1069	1602	253	2437	599	520	1603	410	2765	1980
MSTRG.9930	992	447	0	83	603	17	844	0	125	747	82	545	0	105	578
MSTRG.9931	12	74	365	412	110	188	134	7	377	207	18	127	548	282	137
MSTRG.9932	124	63	42	49	1727	194	90	714	64	3076	57	150	103	14	903
MSTRG.9933	77	13	1029	66	38	58	74	0	89	45	72	4	0	67	65
MSTRG.9934	0	344	0	12225	156	0	95	0	11552	256	0	351	0	8053	136
MSTRG.9935	2979	410	21	57	5313	1993	520	0	195	4836	1766	225	0	93	4090
MSTRG.9936	0	8413	0	0	27502	0	6229	0	0	6891	0	6786	0	0	22153
MSTRG.9937	434	0	656	1132	713	612	0	665	583	661	243	0	584	1311	416
MSTRG.9938	946	128	523	0	412	1826	128	264	0	288	644	164	94	0	456
MSTRG.9939	7777	5977	1317	0	6359	3978	314	3669	0	5352	9660	390	2283	0	4046
MSTRG.994	634	3391	414	1896	96	796	4626	586	549	377	409	4851	504	362	226
MSTRG.9940	1837	1352	137	84	200	1645	14912	1211	324	213	1931	1755	398	132	33
MSTRG.9941	267	565	1659	0	515	364	1621	1878	0	562	269	898	2116	0	426
MSTRG.9942	4468	4	39	1121	48	5478	20	86	1666	39	2657	23	47	1173	57
MSTRG.9943	291	273	295	1187	185	414	388	4141	729	116	196	234	472	1073	135
MSTRG.9944	2502	420	13016	4569	421	2592	655	6890	5534	113	715	791	11349	3876	260
MSTRG.9945	3457	46	1796	0	351	3908	135	664	5	488	869	121	1682	15	531
MSTRG.9946	0	4337	1343	61	1095	0	5341	568	289	2482	0	4403	1105	89	999
MSTRG.9947	531	221	5550	498	1684	1064	1493	5147	218	760	187	565	4701	922	2313
MSTRG.9948	798	3	3	104	1518	1730	49	0	67	2083	228	2	0	117	2142
MSTRG.9949	0	1217	14	371	3919	0	7460	20	427	4112	0	2400	4	118	4246
MSTRG.995	99	30	240	5	11	74	44	151	10	8	152	44	464	3	45
MSTRG.9950	17	830	534	756	439	160	4652	234	1253	134	3	1394	127	619	395
MSTRG.9951	0	3446	1998	149	0	0	23208	1315	95	0	0	6156	515	193	0
MSTRG.9952	129	1932	1638	60	1	265	4109	842	77	23	35	1838	320	128	55
MSTRG.9953	96	4141	4596	59	1759	143	6053	3237	86	2269	5	3662	967	142	1543
MSTRG.9954	25	2555	1651	398	0	34	2367	1987	427	0	6	2145	1510	258	0
MSTRG.9955	64	10273	576	830	4845	75	11072	332	542	4488	4	5262	638	698	2916
MSTRG.9956	5874	2164	3322	644	763	5820	2858	2412	968	1381	1560	1629	2899	555	968
MSTRG.9957	10917	51	477	961	63	11287	183	289	565	125	2983	101	548	325	158
MSTRG.9958	0	258	836	85	603	0	210	1512	118	1252	0	759	1623	118	1425
