gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.10065	49	2995	13	2501	511	28	3640	13	1403	1001	80	3550	19	1736	493
MSTRG.10066	11477	0	250	1639	0	13135	0	77	701	25	5465	0	91	993	0
MSTRG.10067	260	4235	103	1025	220	547	5383	4	237	166	71	3723	79	1091	541
MSTRG.10068	169	835	483	2374	4396	232	748	414	1386	7461	197	681	481	3053	2101
MSTRG.10069	270	885	37	648	177	634	1001	36	1175	170	260	990	79	465	578
MSTRG.1007	10755	251	591	25	0	14218	122	462	8	864	12232	162	634	30	0
MSTRG.10070	44	4771	226	1346	2811	111	9549	121	1783	5088	31	4709	109	1457	2855
MSTRG.10071	90	135	0	946	48	61	335	5	396	134	152	124	25	1031	81
MSTRG.10072	184	909	143	1703	264	67	746	193	1844	470	96	850	182	864	268
MSTRG.10073	969	1128	437	31140	19	216	609	741	23883	58	705	483	837	18459	19
MSTRG.10074	142	137	2021	733	76	226	16	3162	1669	92	229	363	1909	1107	77
MSTRG.10075	156	4	2236	159	7411	191	1	558	147	10494	172	2	2419	169	5090
MSTRG.10076	3771	2167	1944	1353	10	2534	2174	1667	1150	121	3063	2510	3387	1256	51
MSTRG.10077	2007	25	5729	84	0	6328	1	7342	36	0	2006	8	5068	101	0
MSTRG.10078	312	0	15	333	0	1282	0	2	297	0	278	3	10	333	0
MSTRG.10079	76	74	0	3219	574	38	0	71	3499	418	7	84	42	2594	694
MSTRG.1008	1162	3288	7394	45	2234	1263	5173	3043	186	1218	527	5924	4524	54	2876
MSTRG.10080	46	30	2225	606	98	2	2	1744	256	72	384	18	2051	397	278
MSTRG.10081	108	1673	0	531	997	35	1447	0	1553	1511	26	2373	0	727	1006
MSTRG.10082	731	2958	6859	161	1310	496	4168	3378	156	929	787	3385	8752	136	1450
MSTRG.10083	325	2152	1753	82	7372	309	2323	1824	44	10347	166	2183	1772	48	6560
MSTRG.10084	336	574	41	2074	0	6	316	328	1376	8	345	268	199	1615	24
MSTRG.10085	2657	1	2096	1411	546	2174	2	7272	1732	669	1543	1	3429	1244	741
MSTRG.10086	99	910	3	50	49	527	1255	2	6	84	113	738	1	0	29
MSTRG.10087	10	746	57	120	284	125	516	103	29	220	0	744	195	24	141
