gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.6299	1726	4720	4042	940	84	1425	5376	3225	649	843	255	5126	4219	958	73
MSTRG.63	519	408	64	702	497	377	433	25	298	584	549	689	121	531	1152
MSTRG.630	394	0	879	590	7	384	0	4608	1013	5	85	0	982	730	37
MSTRG.6300	1	1339	156	1023	132	0	1660	105	1379	17	1	1469	130	853	78
MSTRG.6301	2030	811	8135	5231	0	2406	610	2349	2414	0	1629	604	5038	5573	0
MSTRG.6302	503	1133	1422	12020	23	428	1689	1679	18129	53	401	1149	1516	14881	105
MSTRG.6303	1412	0	1150	1524	2074	1165	0	779	1580	1825	1145	0	1132	1699	1119
MSTRG.6304	942	689	1155	3293	15108	625	670	4851	3274	6553	57	887	1500	2540	31523
MSTRG.6305	0	18	337	178	686	0	7	460	309	140	0	5	495	445	584
MSTRG.6306	122	2347	356	6821	97	89	2487	216	17326	25	114	1892	203	11056	13
MSTRG.6307	913	3119	241	3945	2419	874	2346	224	5933	4011	385	2973	164	2516	1874
MSTRG.6308	10695	711	258	444	0	11383	801	208	460	0	8800	677	371	554	0
MSTRG.6309	423	2571	4197	0	0	284	2203	24615	0	0	377	2087	4941	0	0
MSTRG.631	2726	980	8889	2173	37	3419	462	5705	4135	156	1504	1266	1835	2002	160
MSTRG.6310	276	493	5202	864	328	383	1436	25557	1223	325	181	760	4300	563	336
MSTRG.6311	55	85	42	103	401	21	106	16	216	763	27	19	74	138	643
MSTRG.6312	85	14	4	29	0	23	432	47	55	0	11	28	0	83	0
MSTRG.6313	227	5301	1	188	1927	73	5285	250	480	1495	103	4586	3	290	1671
MSTRG.6314	5594	433	4	197	4803	6212	437	1046	59	2173	3861	375	10	109	1464
MSTRG.6315	1885	1201	4	259	5643	1668	919	1016	335	9291	1141	872	11	159	4101
MSTRG.6316	694	0	5	199	13466	484	0	1025	356	1392	372	0	10	467	12388
MSTRG.6317	0	13444	3	327	563	0	6514	1220	121	810	0	2415	10	361	642
MSTRG.6318	558	396	52	1096	3908	173	822	805	364	3389	485	1072	13	505	3567
MSTRG.6319	1099	98	1	15291	308	952	164	1	18340	389	385	259	1	15451	362
MSTRG.632	14443	875	44	0	284	13881	489	28	60	584	3678	796	78	31	130
MSTRG.6320	1649	0	74	300	898	1185	0	227	70	2075	1181	0	81	278	1021
MSTRG.6321	4020	8	3	489	751	3188	365	578	576	1394	4070	137	2	315	835
MSTRG.6322	697	146	1434	378	41	1064	43	14538	559	42	597	111	144	401	0
MSTRG.6323	3554	1728	2945	128	21	2929	1629	1981	344	91	2354	1562	3938	424	6
MSTRG.6324	448	418	2055	4	161	1303	460	1099	62	222	609	279	1974	107	266
MSTRG.6325	24	2750	391	534	195	60	1693	300	1029	59	9	2484	440	503	238
MSTRG.6326	5898	1252	3010	533	567	3861	4751	2620	627	522	3149	489	3214	748	699
MSTRG.6327	512	320	12	317	33	553	805	62	482	285	388	765	122	320	0
MSTRG.6328	1351	2940	982	91	318	614	1467	807	173	644	736	7649	1862	172	347
MSTRG.6329	0	1105	554	409	5369	0	1500	611	199	13306	0	1019	455	159	5788
MSTRG.633	3682	583	693	649	1421	4071	518	509	151	2194	985	517	68	122	3378
MSTRG.6330	11209	3651	1154	67	112	8383	2096	734	229	220	537	4478	1022	183	241
MSTRG.6331	814	371	89	0	501	638	119	0	30	502	775	279	8	26	273
MSTRG.6332	129	723	820	51	66	83	1560	741	25	112	264	272	1420	23	92
MSTRG.6333	0	552	5857	1402	2777	0	662	8474	2497	1544	0	546	3702	930	1745
MSTRG.6334	0	750	140	262	35	249	674	20	2947	272	85	390	1752	484	24
MSTRG.6335	241	6753	7670	758	6	43	3998	4867	6690	48	116	9617	4667	1704	97
MSTRG.6336	1952	3294	12	3216	10530	1627	22763	6	2409	12461	918	4440	8	1421	7110
MSTRG.6337	696	221	212	631	168	386	273	99	284	244	133	188	87	329	186
MSTRG.6338	1400	494	21	3	2822	823	835	1464	0	5224	1782	1051	3	3	2692
MSTRG.6339	1482	9652	3836	4858	1419	775	9179	2127	7179	1226	568	8426	6704	3382	1686
MSTRG.634	811	1482	10835	30869	31741	1627	3590	6947	16104	79386	352	2278	2330	4674	42455
MSTRG.6340	2066	1557	66	3009	1603	2796	3979	77	2840	2537	261	1376	24	1620	1788
MSTRG.6341	407	4	896	78	2935	554	5	1317	12	1064	766	16	388	9	1943
MSTRG.6342	7	102	2923	1858	87	15	144	817	3541	63	696	21	3316	3074	157
MSTRG.6343	1903	45	730	1250	127800	1785	87	527	1616	56774	6325	24	744	699	110986
MSTRG.6344	5216	65	41	417	9300	3723	48	33	47	3264	2660	13	103	410	182
MSTRG.6345	277	34	1187	6569	0	118	31	1046	11731	118	92	92	666	6215	9
MSTRG.6346	891	2366	2700	1058	322	1285	1668	1220	1346	426	178	497	4029	1315	180
MSTRG.6347	767	480	1450	479	3233	615	1181	2632	910	1644	510	884	2746	306	4708
MSTRG.6348	325	699	1095	2300	283	188	717	1549	6359	74	287	525	1470	3172	298
MSTRG.6349	297	1195	96	959	160	938	1482	8	1003	115	77	1079	24	787	76
MSTRG.635	3789	4475	161	12	117	3944	28134	219	16	46	990	7386	207	57	94
MSTRG.6350	6199	10153	68	71	984	1681	5538	2	42	8900	3386	1366	113	75	666
MSTRG.6351	4903	3357	2366	1972	12055	27761	2515	3092	3547	20070	7137	1950	2422	3823	4300
MSTRG.6352	244	57	1964	0	0	197	267	1309	0	0	134	12	1574	0	0
MSTRG.6353	631	741	366	1252	42	724	465	1428	1551	26	850	747	562	1558	12
