gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.9	584	716	482	726	1242	300	667	251	63	874	251	337	303	36	334
MSTRG.90	3905	1005	3558	3952	3112	1945	1492	1644	2439	2358	2105	1164	2171	2484	1637
MSTRG.900	2682	266	76	1162	75	2007	135	0	2233	116	1228	206	284	650	155
MSTRG.9000	10954	4462	900	707	221	9748	3803	374	1081	477	5374	2409	257	856	196
MSTRG.9001	945	880	13877	415	764	363	482	8719	606	1970	652	858	2979	292	889
MSTRG.9002	18	4849	0	226	13895	185	9069	0	114	19105	29	5049	0	178	10263
MSTRG.9003	271	578	0	180	2957	31	674	0	656	2034	344	116	0	272	3985
MSTRG.9004	958	497	4924	712	2812	614	309	5449	745	3746	636	965	5105	1051	2958
MSTRG.9005	951	554	221	683	455	583	400	556	876	351	1440	647	231	406	285
MSTRG.9006	262	1524	1099	948	8388	484	864	1529	2742	21994	324	1275	1264	1456	8344
MSTRG.9007	10384	2	30	3363	605	8697	27	14	5692	283	7174	0	56	9767	969
MSTRG.9008	240	10	5687	105	3339	250	7	6040	103	2560	76	7	4569	41	4034
MSTRG.9009	5274	8905	1189	1514	2658	3655	13878	1105	3342	3121	3524	6572	1026	2596	4628
MSTRG.901	238	594	94	1346	520	128	234	53	915	411	52	515	156	874	476
MSTRG.9010	638	2176	5176	5924	5	664	2968	10734	5053	35	238	1955	2351	5354	73
MSTRG.9011	85	191	125	280	69	69	50	69	145	123	51	151	18	45	65
MSTRG.9012	1803	1059	745	32	0	1758	685	157	38	0	1497	1046	22	8	0
MSTRG.9013	1271	406	108	22663	3449	625	167	19	32802	5381	544	355	69	12908	2820
MSTRG.9014	1398	35	93	7067	391	410	26	128	15055	313	918	21	78	6051	127
MSTRG.9015	2187	4345	545	351	2681	1635	2434	859	1741	1650	845	3574	686	247	1833
MSTRG.9016	3992	82	4717	419	836	2717	97	3122	1325	690	765	32	1084	191	550
MSTRG.9017	1281	0	3224	43	1824	788	0	2111	72	1784	1160	3125	1045	34	1577
MSTRG.9018	179	2045	0	540	2912	238	1403	52	1481	2320	420	2311	8	382	2618
MSTRG.9019	0	416	688	389	85	1	108	270	149	356	9	185	152	430	1511
MSTRG.902	160	1823	658	3758	6730	331	606	580	24963	7142	6	1614	1793	1802	4089
MSTRG.9020	3757	7173	2642	429	0	2568	5003	8968	1098	0	4204	5484	3568	562	0
MSTRG.9021	6675	10422	31	219	886	3719	239	55	161	692	2982	376	29	249	258
MSTRG.9022	3565	2712	6579	263	118	1838	3746	5993	322	134	1195	3008	14559	200	37
MSTRG.9023	564	928	550	11	1418	463	835	164	3	926	495	2189	459	2	978
MSTRG.9024	4101	1104	2270	138	0	3018	388	103	427	43	1033	793	1577	522	0
